,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2013,56593250.0,-2265500.0,,
June 2013,56593250.0,-2265500.0,,
September 2013,56593250.0,-2265500.0,,
December 2013,56593250.0,-2265500.0,,
March 2014,56237500.0,-4119000.0,,
June 2014,56237500.0,-606000.0,,
September 2014,56649000.0,-6908000.0,,
December 2014,183358000.0,-54264000.0,1858794000.0,268649000.0
March 2015,185792000.0,-6762000.0,,
June 2015,191826000.0,-5426000.0,,
September 2015,195325000.0,-3122000.0,1891522000.0,288003000.0
December 2015,242194000.0,16739000.0,2106684000.0,310957000.0
March 2016,232794000.0,-7190000.0,2202340000.0,394886000.0
June 2016,238733000.0,2120000.0,2213523000.0,316950000.0
September 2016,239834000.0,-2338000.0,2248725000.0,328728000.0
December 2016,237595000.0,16862000.0,2304958000.0,361955000.0
March 2017,244462000.0,-2754000.0,2289733000.0,350077000.0
June 2017,250614000.0,-4471000.0,2671487000.0,352311000.0
September 2017,120332000.0,-9140000.0,4601854000.0,573659000.0
December 2017,380002000.0,-32176000.0,4622773000.0,563225000.0
March 2018,376206000.0,-17521000.0,4594884000.0,490579000.0
June 2018,401214000.0,-19500000.0,4583730000.0,472799000.0
September 2018,387400000.0,-20981000.0,4558664000.0,463318000.0
December 2018,528798000.0,-147742000.0,4676300000.0,588300000.0
March 2019,367200000.0,-20100000.0,4880900000.0,535300000.0
June 2019,389900000.0,-19800000.0,4890900000.0,529000000.0
September 2019,393000000.0,-15700000.0,4917500000.0,517900000.0
December 2019,445400000.0,-19200000.0,5018900000.0,525500000.0
March 2020,417500000.0,-27500000.0,5090900000.0,614600000.0
June 2020,330000000.0,-32500000.0,5244700000.0,746500000.0
September 2020,477600000.0,-61600000.0,5312900000.0,893400000.0
December 2020,452000000.0,5500000.0,5413200000.0,801500000.0
March 2021,448100000.0,-21000000.0,5639000000.0,1017800000.0
June 2021,483800000.0,-26900000.0,5620600000.0,952900000.0
September 2021,495600000.0,-22900000.0,5631600000.0,841700000.0
December 2021,495400000.0,-100000.0,6117600000.0,946100000.0
March 2022,495800000.0,12200000.0,6289500000.0,937000000.0
June 2022,538900000.0,-18400000.0,6291600000.0,788400000.0
