,OperatingExpenses,Assets,AssetsCurrent
March 2008,215310250.0,,
June 2008,215310250.0,,
September 2008,215310250.0,,
December 2008,215310250.0,,
March 2009,157385000.0,,
June 2009,145249000.0,,
September 2009,166380000.0,,
December 2009,250177000.0,3163148000.0,323968000.0
March 2010,244577000.0,,
June 2010,299819000.0,3276958000.0,350683000.0
September 2010,325604000.0,3650925000.0,401017000.0
December 2010,284781000.0,3717900000.0,384583000.0
March 2011,327544000.0,3796837000.0,428278000.0
June 2011,256104000.0,3849160000.0,458567000.0
September 2011,299712000.0,4006698000.0,607521000.0
December 2011,349173000.0,4045001000.0,612190000.0
March 2012,372318000.0,4009794000.0,566448000.0
June 2012,283724000.0,4074989000.0,591850000.0
September 2012,248334000.0,4105357000.0,500470000.0
December 2012,318601000.0,4420067000.0,700278000.0
March 2013,,4405713000.0,585495000.0
June 2013,,4388068000.0,464319000.0
September 2013,,4548005000.0,387281000.0
December 2013,,4820812000.0,396733000.0
March 2014,,5143782000.0,567042000.0
June 2014,,5124259000.0,358458000.0
September 2014,,5311396000.0,401980000.0
December 2014,,5517285000.0,402667000.0
March 2015,,5605117000.0,395650000.0
June 2015,,5732056000.0,332701000.0
September 2015,,5966183000.0,358156000.0
December 2015,,6041567000.0,338854000.0
March 2016,,6392314000.0,515531000.0
June 2016,,6448204000.0,385582000.0
September 2016,,6919785000.0,648275000.0
December 2016,,6772073000.0,370394000.0
March 2017,,6829879000.0,302428000.0
June 2017,,6930722000.0,325656000.0
September 2017,,7103447000.0,407428000.0
December 2017,,7394375000.0,611839000.0
March 2018,,7376049000.0,493192000.0
June 2018,,7538302000.0,425538000.0
September 2018,,7595668000.0,672007000.0
December 2018,,7747537000.0,646343000.0
March 2019,,7844551000.0,438188000.0
June 2019,,8005440000.0,407018000.0
September 2019,,8392186000.0,567844000.0
December 2019,,8437729000.0,459408000.0
March 2020,,8185305000.0,426990000.0
June 2020,,8104990000.0,317244000.0
September 2020,,8140196000.0,341243000.0
December 2020,,8196982000.0,405193000.0
March 2021,,8248228000.0,478145000.0
June 2021,,8292662000.0,1022273000.0
September 2021,,8046665000.0,799296000.0
December 2021,,8030000000.0,843200000.0
March 2022,,8111000000.0,951200000.0
June 2022,,7792400000.0,669500000.0
