,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,,,,,,,
June 2010,,,,,,,
September 2010,5545.0,,,-5545.0,7000.0,,
December 2010,2775.0,,,-18535.0,,,
March 2011,2088.0,,,-18535.0,,,
June 2011,1054.0,,,-18535.0,,,
September 2011,53188.0,2000.0,,-3500.0,16002.0,15589.0,
December 2011,1301.0,2000.0,,-3500.0,11753.0,11391.0,
March 2012,5301.0,7750.0,,-8152.333333333333,7952.0,7641.0,
June 2012,1552.0,7750.0,,-8152.333333333333,4900.0,4641.0,
September 2012,19805.0,7750.0,,-8152.333333333333,4848.0,4641.0,
December 2012,2781.0,7750.0,,-63543.0,2072.0,1917.0,
March 2013,2309.0,31000.0,,-109000.0,401.0,298.0,
June 2013,247000.0,148000.0,,-260000.0,330.0,278.0,
September 2013,429000.0,221000.0,,-451000.0,162.0,,
December 2013,835691.0,271000.0,,-768000.0,371000.0,39000.0,150000.0
March 2014,1083000.0,387000.0,,-1153000.0,453000.0,112000.0,150000.0
June 2014,1826000.0,657000.0,,-1813000.0,1645000.0,1261000.0,150000.0
September 2014,2079000.0,807000.0,,-2065000.0,1933000.0,1510000.0,50000.0
December 2014,2783000.0,668000.0,,-2776000.0,2990000.0,2520000.0,
March 2015,3183000.0,1076000.0,,-3624000.0,,,
June 2015,3566000.0,1141000.0,,-3571000.0,,,
September 2015,3849000.0,1649000.0,,-3850000.0,,,
December 2015,4387000.0,1836000.0,,-4553000.0,,,
March 2016,4473000.0,2173000.0,,-4461000.0,,,
June 2016,5037000.0,2973000.0,,-5034000.0,,,
September 2016,4170000.0,2487000.0,,-3878000.0,,,
December 2016,4330000.0,2525000.0,,-5033000.0,,,
March 2017,5041000.0,2941000.0,,-5397000.0,,,
June 2017,4279000.0,2413000.0,,-3741000.0,,,
September 2017,3745000.0,2111000.0,,-3714000.0,,,
December 2017,3634000.0,1675000.0,,-3788000.0,,,
March 2018,4374000.0,2327000.0,,-4402000.0,,,
June 2018,4478000.0,2730000.0,,-4410000.0,,,
September 2018,4402000.0,2228000.0,,-4390000.0,,,
December 2018,3226000.0,1794000.0,,-4056000.0,,,
March 2019,3640000.0,2199000.0,8059.0,-3623000.0,,,
June 2019,190284.0,152451.0,37833.0,-190284.0,,,
September 2019,794995.0,539688.0,235307.0,-577379.0,,,
December 2019,-1317593.0,-1142252.0,207600.0,1353385.0,89893.0,89893.0,
March 2020,2664867.0,1018231.0,456794.0,-3518600.0,,,
June 2020,14273877.0,536170.0,1055084.0,-15245609.0,14802579.0,13799815.0,
September 2020,1919056.0,685207.0,1233849.0,2836495.0,13240329.0,12287102.0,
December 2020,1807877.0,493418.0,1314459.0,810100.0,11627949.0,10725983.0,
March 2021,1914907.0,849518.0,1065389.0,-1874260.0,9773700.0,8791982.0,
June 2021,3356112.0,1800100.0,1556012.0,-2966203.0,7690245.0,6761309.0,
September 2021,3270834.0,1974193.0,1296641.0,-3005404.0,4552784.0,3695336.0,
December 2021,2994897.0,1525775.0,1469122.0,-2793279.0,17901474.0,17118777.0,
March 2022,3221354.0,1518959.0,1702395.0,-3073394.0,14780379.0,14071500.0,
June 2022,9403843.0,3891500.0,1512343.0,-9495996.0,9909587.0,9278536.0,
