,NetIncomeLoss,Assets
March 2010,-8430647.0,
June 2010,-5993976.0,
September 2010,15164715.0,
December 2010,29983537.0,102374217.0
March 2011,14384210.0,
June 2011,-8416291.0,89283207.0
September 2011,-15693600.0,70968585.0
December 2011,3996146.0,82833549.0
March 2012,7004324.0,75050654.0
June 2012,-10222618.0,65285252.0
September 2012,17680822.0,79389539.0
December 2012,-7394398.0,70061518.0
March 2013,-3855550.0,64864783.0
June 2013,-11233361.0,52234279.0
September 2013,2087826.0,52442251.0
December 2013,-5054765.0,43828569.0
March 2014,3330971.0,42452313.0
June 2014,-528108.0,39290946.0
September 2014,-10496859.0,28458647.0
December 2014,-5195685.0,19724622.0
March 2015,-765764.0,17904093.0
June 2015,175591.0,10310008.0
