,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2011,12200000.0,,
June 2011,12200000.0,,
September 2011,12200000.0,,
December 2011,12200000.0,,
March 2012,13731000.0,,
June 2012,23500000.0,,
September 2012,33200000.0,,
December 2012,33969000.0,2853000000.0,119600000.0
March 2013,34800000.0,2818755000.0,130745000.0
June 2013,36900000.0,2771300000.0,125700000.0
September 2013,30700000.0,2789400000.0,119900000.0
December 2013,33400000.0,2794000000.0,116300000.0
March 2014,30000000.0,2803700000.0,144800000.0
June 2014,38900000.0,2852700000.0,174500000.0
September 2014,33400000.0,2868500000.0,401100000.0
December 2014,33500000.0,2840400000.0,366900000.0
March 2015,27800000.0,2787000000.0,322600000.0
June 2015,27000000.0,2637200000.0,193300000.0
September 2015,28400000.0,2585100000.0,141400000.0
December 2015,27400000.0,2574500000.0,166900000.0
March 2016,26000000.0,2560300000.0,145800000.0
June 2016,27600000.0,2659400000.0,225700000.0
September 2016,32600000.0,2637700000.0,137600000.0
December 2016,30200000.0,2663800000.0,129500000.0
March 2017,30300000.0,2554300000.0,173000000.0
