,NetIncomeLoss,Assets,AssetsCurrent
March 2009,12300500.0,,
June 2009,12300500.0,,
September 2009,12300500.0,,
December 2009,12300500.0,,
March 2010,19896000.0,,
June 2010,11300000.0,,
September 2010,12391000.0,,
December 2010,-20672000.0,258002000.0,52546000.0
March 2011,13480000.0,,
June 2011,10507000.0,,
September 2011,9150000.0,,
December 2011,18258000.0,,
March 2012,19270000.0,,
June 2012,13329000.0,,
September 2012,10889000.0,,
December 2012,20645000.0,,
March 2013,22120000.0,,
June 2013,15634000.0,,
September 2013,11064000.0,,
December 2013,1989000.0,,
March 2014,16571000.0,,
June 2014,11390000.0,,
September 2014,14884000.0,,
December 2014,20180000.0,,
March 2015,15166000.0,,
June 2015,17472000.0,,
September 2015,9991000.0,,
December 2015,22869000.0,,
