,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2010,1034000.0,95000.0,939000.0,,
June 2010,1072000.0,95000.0,977000.0,,
September 2010,1078000.0,101000.0,977000.0,,
December 2010,,106000.0,,41238000.0,25142000.0
March 2011,1552000.0,101000.0,1451000.0,,
June 2011,3027000.0,148000.0,2879000.0,80767000.0,17064000.0
September 2011,2979000.0,138000.0,2842000.0,79059000.0,17743000.0
December 2011,,131000.0,,76389000.0,17016000.0
March 2012,2623000.0,146000.0,2478000.0,79967000.0,19992000.0
June 2012,2519000.0,147000.0,2372000.0,76880000.0,18652000.0
September 2012,2517000.0,140000.0,2376000.0,78803000.0,20057000.0
December 2012,,130000.0,,76935000.0,18535000.0
March 2013,2392000.0,123000.0,2269000.0,76362000.0,21597000.0
June 2013,2333000.0,120000.0,2213000.0,76429000.0,22289000.0
September 2013,2285000.0,126000.0,2159000.0,80599000.0,24531000.0
December 2013,,122000.0,,80711000.0,24286000.0
March 2014,2207000.0,123000.0,2084000.0,82894000.0,26332000.0
June 2014,2287000.0,115000.0,2172000.0,84292000.0,27417000.0
September 2014,2194000.0,115000.0,2079000.0,82285000.0,28578000.0
December 2014,,107000.0,,81076000.0,29675000.0
March 2015,2235000.0,156000.0,2079000.0,75375000.0,26789000.0
June 2015,2132000.0,140000.0,1992000.0,79930000.0,29976000.0
September 2015,2079000.0,110000.0,1969000.0,80155000.0,32306000.0
December 2015,,116000.0,,79175000.0,32873000.0
March 2016,1911000.0,110000.0,1801000.0,83214000.0,38270000.0
June 2016,1937000.0,119000.0,1818000.0,81043000.0,39224000.0
September 2016,1836000.0,135000.0,1701000.0,82816000.0,41903000.0
December 2016,,111000.0,,76584000.0,34867000.0
March 2017,1810000.0,118000.0,1692000.0,82168000.0,40516000.0
June 2017,1859000.0,119000.0,1740000.0,85945000.0,43789000.0
September 2017,1817000.0,103000.0,1714000.0,90675000.0,48021000.0
December 2017,,107000.0,,92745000.0,49188000.0
March 2018,1951000.0,113000.0,1838000.0,97188000.0,53119000.0
June 2018,1928000.0,117000.0,1811000.0,97044000.0,55996000.0
September 2018,1892000.0,108000.0,1784000.0,99152000.0,59055000.0
December 2018,,116000.0,,99768000.0,60903000.0
March 2019,2672000.0,115000.0,2557000.0,105051000.0,45668000.0
June 2019,3019000.0,113000.0,2906000.0,103361000.0,46225000.0
September 2019,3008000.0,130000.0,2878000.0,104094000.0,49513000.0
December 2019,,125000.0,,109787000.0,54886000.0
March 2020,2973000.0,135000.0,2838000.0,103194000.0,51223000.0
June 2020,2973000.0,116000.0,2857000.0,103545000.0,53117000.0
September 2020,2910000.0,125000.0,2785000.0,107072000.0,57260000.0
December 2020,,110000.0,,111745000.0,62262000.0
March 2021,3059000.0,130000.0,2929000.0,114388000.0,66616000.0
June 2021,3020000.0,128000.0,2892000.0,116794000.0,70587000.0
September 2021,2975000.0,127000.0,2848000.0,119752000.0,75846000.0
December 2021,,141000.0,,115636000.0,73158000.0
March 2022,3011000.0,123000.0,2888000.0,119803000.0,79480000.0
June 2022,3094000.0,135000.0,2959000.0,116149000.0,78953000.0
