,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,1836.0,,
June 2009,1836.0,,
September 2009,1836.0,,
December 2009,1836.0,,
March 2010,1641.0,,
June 2010,-524.0,,
September 2010,1084000.0,,
December 2010,-1079705.0,,144697.0
March 2011,203.0,-87000.0,
June 2011,1228.0,-872000.0,143730.0
September 2011,832000.0,-687000.0,142677000.0
December 2011,-827887.0,-5157000.0,132782.0
March 2012,882.0,-835000.0,131539.0
June 2012,775.0,-409000.0,130915.0
September 2012,449.0,-635000.0,130257.0
December 2012,379894.0,1461000.0,126889.0
March 2013,678000.0,81000.0,127036.0
June 2013,-702.0,154000.0,125896.0
September 2013,526000.0,-733000.0,124760.0
December 2013,3143702.0,-2466000.0,131619000.0
March 2014,692000.0,-291000.0,131213000.0
June 2014,473000.0,-220000.0,131127000.0
September 2014,324000.0,-487000.0,131808000.0
December 2014,1146000.0,-519000.0,126123000.0
March 2015,648000.0,-579000.0,125881000.0
June 2015,593000.0,-747000.0,125080000.0
September 2015,709000.0,-443000.0,124323000.0
December 2015,912000.0,-1753000.0,119377000.0
March 2016,912000.0,-706000.0,118744000.0
June 2016,635000.0,-457000.0,117702000.0
September 2016,432000.0,-391000.0,117103000.0
December 2016,1899000.0,-15097000.0,109187000.0
March 2017,671000.0,-458000.0,108831000.0
June 2017,818000.0,-849000.0,108224000.0
September 2017,306000.0,3765000.0,111592000.0
December 2017,1284000.0,8252000.0,112908000.0
March 2018,905000.0,-778000.0,112644000.0
June 2018,504000.0,-475000.0,111870000.0
September 2018,487000.0,-719000.0,110905000.0
December 2018,1386000.0,-936000.0,108906000.0
March 2019,789000.0,-945000.0,108151000.0
June 2019,922000.0,-61000.0,107830000.0
September 2019,1567000.0,-1380000.0,106294000.0
December 2019,1286000.0,-1241000.0,106158000.0
March 2020,1048000.0,-718000.0,104818000.0
June 2020,1126000.0,-999000.0,103719000.0
September 2020,676000.0,-711000.0,102059000.0
December 2020,1282000.0,-1312000.0,102148000.0
March 2021,4647000.0,-3557000.0,100932000.0
June 2021,466000.0,-417000.0,100206000.0
September 2021,589000.0,-608000.0,99288000.0
December 2021,,4827000.0,102148000.0
March 2022,,2407000.0,103141000.0
June 2022,,-902000.0,102586000.0
