,NetIncomeLoss,Assets,AssetsCurrent
March 2009,-1685879.0,,
June 2009,-1685879.0,,
September 2009,-1685879.0,,
December 2009,-1685879.0,,
March 2010,148203.0,,
June 2010,-1436159.0,,
September 2010,-295566.0,,
December 2010,1088889.0,102546916.0,67168714.0
March 2011,-1382245.0,,
June 2011,-1528776.0,84480949.0,48084581.0
September 2011,-241789.0,83808429.0,47775390.0
December 2011,-1382245.0,90107428.0,55680640.0
March 2012,2817704.0,95879512.0,61492438.0
June 2012,3664129.0,97967698.0,63742921.0
September 2012,2907171.0,161975506.0,127195549.0
December 2012,5114129.0,141045236.0,106224087.0
March 2013,6880236.0,142290438.0,109548047.0
June 2013,1485195.0,133649768.0,99056721.0
September 2013,6587070.0,104102124.0,68244277.0
December 2013,6238546.0,135156519.0,99101262.0
March 2014,2385398.0,120921686.0,84327750.0
June 2014,3203948.0,114791674.0,77356596.0
September 2014,4452418.0,96554222.0,58412921.0
December 2014,10022874.0,117137344.0,71545645.0
March 2015,7441928.0,97451926.0,51910698.0
June 2015,1542111.0,94406440.0,47639550.0
September 2015,5262496.0,108066052.0,60809814.0
December 2015,8705301.0,122914781.0,75762382.0
March 2016,3756585.0,103879902.0,56103969.0
June 2016,2432991.0,100473095.0,52133813.0
September 2016,3819268.0,115851771.0,65391930.0
December 2016,2584212.0,121242340.0,70258184.0
March 2017,2276975.0,107061655.0,55080345.0
June 2017,2161015.0,112473507.0,54781157.0
September 2017,3338850.0,118591680.0,57549266.0
December 2017,-1009772.0,123216647.0,64406935.0
March 2018,-1556239.0,134064594.0,70454295.0
June 2018,4654504.0,121676241.0,57055282.0
September 2018,11607670.0,123267540.0,56744798.0
December 2018,11171410.0,144854183.0,68306549.0
March 2019,4749877.0,152557679.0,76479272.0
June 2019,5782002.0,137776318.0,60774376.0
September 2019,1654325.0,151222130.0,74260313.0
December 2019,-1206619.0,158104992.0,87130456.0
March 2020,223083.0,172477345.0,88908682.0
June 2020,5486614.0,171810864.0,88884564.0
September 2020,1392729.0,186399872.0,98580991.0
December 2020,8479301.0,225823047.0,138764381.0
March 2021,5784092.0,251032625.0,164135814.0
June 2021,1566057.0,278117995.0,189968562.0
September 2021,14467290.0,283929901.0,194329824.0
December 2021,6190476.0,245286123.0,149196847.0
March 2022,18297835.0,301603111.0,203493685.0
June 2022,22764103.0,303242286.0,202934729.0
