,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2009,10795750.0,4023750.0,,,
September 2009,10795750.0,4023750.0,,,
December 2009,10795750.0,4023750.0,,,
March 2010,10795750.0,4023750.0,,,
June 2010,10545000.0,8376000.0,,,
September 2010,11198000.0,7459000.0,,,
December 2010,10733000.0,8217000.0,,,
March 2011,10779000.0,63896000.0,,,
June 2011,5386000.0,1815500.0,314054000.0,288188000.0,25866000.0
September 2011,5386000.0,1815500.0,264042000.0,225115000.0,38927000.0
December 2011,4587000.0,-985500.0,253149000.0,229447000.0,23702000.0
March 2012,4870000.0,2324500.0,247187000.0,224341000.0,22846000.0
June 2012,5074500.0,401500.0,231423000.0,213291000.0,18132000.0
September 2012,5074500.0,245500.0,224434000.0,206195000.0,18239000.0
December 2012,5153500.0,132500.0,222649000.0,206816000.0,15833000.0
March 2013,4164500.0,271500.0,221299000.0,205522000.0,15777000.0
June 2013,10069000.0,1968000.0,217318000.0,202959000.0,14359000.0
September 2013,10473000.0,524000.0,207800000.0,194067000.0,13733000.0
December 2013,5268500.0,1943000.0,206696000.0,194779000.0,11917000.0
March 2014,5268500.0,-2475000.0,205027000.0,192710000.0,12317000.0
June 2014,11182000.0,-83000.0,203545000.0,192239000.0,11306000.0
September 2014,12621000.0,-1057000.0,200905000.0,181879000.0,19026000.0
December 2014,12563000.0,-2198000.0,194286000.0,171546000.0,22740000.0
March 2015,12863000.0,-2221000.0,183088000.0,159963000.0,23125000.0
June 2015,12267000.0,-1399000.0,184994000.0,161178000.0,23816000.0
September 2015,13200000.0,-2286000.0,176477000.0,143397000.0,33080000.0
December 2015,12471000.0,-2926000.0,168848000.0,138762000.0,30086000.0
March 2016,13694000.0,-155000.0,163992000.0,133169000.0,30823000.0
June 2016,12327000.0,-2850000.0,168130000.0,135925000.0,32205000.0
September 2016,13368000.0,-2522000.0,160571000.0,132386000.0,28185000.0
December 2016,12002000.0,-1431000.0,155404000.0,126725000.0,28679000.0
March 2017,12157000.0,-125000.0,153322000.0,124554000.0,28768000.0
June 2017,6162000.0,-56000.0,157464000.0,128357000.0,29107000.0
September 2017,6162000.0,-56000.0,157121000.0,127622000.0,29499000.0
December 2017,6440000.0,1724000.0,159986000.0,131393000.0,28593000.0
March 2018,6657000.0,-1197000.0,163358000.0,134849000.0,28509000.0
June 2018,6549500.0,2936000.0,166329000.0,137824000.0,28505000.0
September 2018,6549500.0,-2505000.0,160732000.0,131621000.0,29111000.0
December 2018,6875500.0,2201000.0,160443000.0,131250000.0,29193000.0
March 2019,6221500.0,-3279000.0,158048000.0,128930000.0,29118000.0
June 2019,12847000.0,157000.0,153017000.0,130614000.0,22403000.0
September 2019,13161000.0,-622000.0,150986000.0,124964000.0,26022000.0
December 2019,12659000.0,-93000.0,152976000.0,127412000.0,25564000.0
March 2020,12660000.0,-1280000.0,151408000.0,126536000.0,24872000.0
June 2020,12976000.0,-1147000.0,150720000.0,126666000.0,24054000.0
September 2020,13491000.0,689000.0,150316000.0,126636000.0,23680000.0
December 2020,15457000.0,228000.0,152568000.0,129436000.0,23132000.0
March 2021,14001000.0,1885000.0,153967000.0,131046000.0,22921000.0
June 2021,13469000.0,2635000.0,156753000.0,134305000.0,22448000.0
September 2021,13135000.0,4122000.0,160206000.0,136220000.0,23986000.0
December 2021,13946000.0,2887000.0,164849000.0,141275000.0,23574000.0
March 2022,15173000.0,8283000.0,170686000.0,147787000.0,22899000.0
June 2022,14248000.0,6324000.0,179819000.0,153211000.0,26608000.0
