,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,,,426250.0,,,
June 2009,,,426250.0,,,
September 2009,,,426250.0,,,
December 2009,,,426250.0,,,
March 2010,,,834000.0,,,
June 2010,,,1504000.0,,,
September 2010,,,1730000.0,,,
December 2010,,,820000.0,56672000.0,27565000.0,29107000.0
March 2011,,,1117000.0,,,
June 2011,,,914000.0,55596000.0,26891000.0,28705000.0
September 2011,,,190000.0,128030000.0,99527000.0,28503000.0
December 2011,,,-1462000.0,127641000.0,99141000.0,28500000.0
March 2012,48800000.0,325000.0,-2694000.0,265246000.0,235426000.0,29820000.0
June 2012,57900000.0,325000.0,-5177000.0,260731000.0,,
September 2012,80300000.0,325000.0,-3100000.0,387771000.0,346208000.0,41563000.0
December 2012,119600000.0,325000.0,-9319000.0,413208000.0,320934000.0,92274000.0
March 2013,125300000.0,800000.0,-14700000.0,400454000.0,289258000.0,111196000.0
June 2013,151200000.0,900000.0,-17362000.0,394479000.0,277971000.0,116508000.0
September 2013,212401000.0,6200000.0,-6025000.0,700332000.0,202410000.0,497922000.0
December 2013,265700000.0,6200000.0,-10599000.0,780241000.0,170000000.0,610200000.0
March 2014,303800000.0,7300000.0,-28135000.0,1423755000.0,512204000.0,911551000.0
June 2014,592904000.0,18300000.0,-13800000.0,1380830000.0,483416000.0,897414000.0
September 2014,676100000.0,16500000.0,-11699000.0,2746293000.0,1203779000.0,1542514000.0
December 2014,824700000.0,20400000.0,-9900000.0,2761200000.0,1233100000.0,1528100000.0
March 2015,707800000.0,18000000.0,-14700000.0,3133100000.0,1567400000.0,1565700000.0
June 2015,1246000000.0,29600000.0,-78800000.0,9702700000.0,3894300000.0,5808400000.0
September 2015,2318000000.0,45500000.0,-40400000.0,9036600000.0,3240700000.0,5795900000.0
December 2015,3380300000.0,,-63100000.0,12643200000.0,2957200000.0,9686000000.0
March 2016,3483300000.0,42000000.0,-22500000.0,12592300000.0,3041100000.0,9551200000.0
June 2016,3513000000.0,44100000.0,46600000.0,12430300000.0,3106000000.0,9324300000.0
September 2016,3545000000.0,44100000.0,15100000.0,12419300000.0,3171700000.0,9247600000.0
December 2016,3590000000.0,,32100000.0,11698400000.0,3073600000.0,8624800000.0
March 2017,3435700000.0,415250000.0,21300000.0,11688300000.0,3096100000.0,8592200000.0
June 2017,3575300000.0,415250000.0,51900000.0,11931900000.0,3258300000.0,8673600000.0
September 2017,3710400000.0,415250000.0,62500000.0,12358200000.0,3581700000.0,8776500000.0
December 2017,4077600000.0,415250000.0,204300000.0,12601600000.0,3588000000.0,9014000000.0
March 2018,4051000000.0,459250000.0,73000000.0,12961300000.0,3805500000.0,9155800000.0
June 2018,4135500000.0,459250000.0,149000000.0,12619700000.0,3713300000.0,8906400000.0
September 2018,4126000000.0,459250000.0,109000000.0,12676100000.0,3830300000.0,8845800000.0
December 2018,4262500000.0,459250000.0,91000000.0,12270000000.0,3688000000.0,8582000000.0
March 2019,3988000000.0,486000000.0,47000000.0,14196000000.0,3683000000.0,10513000000.0
June 2019,3980000000.0,455000000.0,135000000.0,14314000000.0,3790000000.0,10524000000.0
September 2019,3925000000.0,456000000.0,130000000.0,13916000000.0,3426000000.0,10490000000.0
December 2019,,448000000.0,107000000.0,14128000000.0,3342000000.0,10786000000.0
March 2020,,525000000.0,23000000.0,14562000000.0,4006000000.0,10556000000.0
June 2020,,632000000.0,-131000000.0,15641000000.0,5030000000.0,10611000000.0
September 2020,,294000000.0,93000000.0,15745000000.0,5084000000.0,10661000000.0
December 2020,,721000000.0,125000000.0,16169000000.0,5378000000.0,10799000000.0
March 2021,,588000000.0,115000000.0,15369000000.0,4271000000.0,11098000000.0
June 2021,,594000000.0,156000000.0,15564000000.0,4464000000.0,11100000000.0
September 2021,,339000000.0,-57000000.0,8533000000.0,2550000000.0,5983000000.0
December 2021,,-199000000.0,122000000.0,8707000000.0,2677000000.0,6030000000.0
March 2022,,344000000.0,488000000.0,9320000000.0,3555000000.0,5765000000.0
June 2022,,324000000.0,141000000.0,8640000000.0,2916000000.0,5724000000.0
