,Assets,AssetsCurrent
December 2010,1930167000.0,125304000.0
March 2011,,
June 2011,1879132000.0,120781000.0
September 2011,2041361000.0,171850000.0
December 2011,2330849000.0,172820000.0
March 2012,2258620000.0,132538000.0
June 2012,2431490000.0,149003000.0
September 2012,2578980000.0,122347000.0
December 2012,2915494000.0,113665000.0
March 2013,2889419000.0,94115000.0
June 2013,3058747000.0,124175000.0
September 2013,3900456000.0,156580000.0
December 2013,4196282000.0,117062000.0
March 2014,4213200000.0,133705000.0
June 2014,4185852000.0,119797000.0
September 2014,4263654000.0,155601000.0
December 2014,7638334000.0,600708000.0
March 2015,7541069000.0,563885000.0
June 2015,7245543000.0,482151000.0
September 2015,5850048000.0,566521000.0
December 2015,4872412000.0,588327000.0
March 2016,4715386000.0,590068000.0
June 2016,4531648000.0,650697000.0
September 2016,4189854000.0,649607000.0
December 2016,4115408000.0,630756000.0
March 2017,4009770000.0,589785000.0
June 2017,3947834000.0,558478000.0
September 2017,3046622000.0,94542000.0
