,Assets,AssetsCurrent,AssetsNoncurrent
December 2010,38002011.0,3720797.0,34281214.0
March 2011,,,
June 2011,34372631.0,4465812.0,29906819.0
September 2011,34142362.0,4991712.0,29150650.0
December 2011,33978515.0,5337377.0,28864550.0
March 2012,33745025.0,5597843.0,28147182.0
June 2012,31778258.0,4382199.0,
September 2012,29987079.0,3866467.0,
December 2012,28369608.0,3853246.0,
March 2013,26874370.0,2901881.0,
June 2013,24709947.0,8999431.0,
September 2013,16008449.0,652517.0,
December 2013,5773310.0,568764.0,
March 2014,5653923.0,694054.0,
June 2014,5534411.0,663827.0,
September 2014,5611408.0,618812.0,
December 2014,5729273.0,249489.0,
March 2015,2265125.0,133305.0,
June 2015,2268592.0,166831.0,
September 2015,2241430.0,156008.0,
December 2015,1074141.0,124223.0,
March 2016,1056966.0,137511.0,
June 2016,1038939.0,155036.0,
September 2016,944842.0,109416.0,
December 2016,1244846.0,128764.0,
March 2017,1201983.0,148855.0,
June 2017,1090059.0,102186.0,
September 2017,901488.0,130070.0,
December 2017,1142509.0,87174.0,
March 2018,1122134.0,61043.0,
June 2018,1139120.0,46015.0,
September 2018,470362.0,89925.0,
