,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2010,,,,-539252.5,,,
December 2010,,,,-539252.5,47480.0,47480.0,
March 2011,,,,-12450.75,,,
June 2011,,,,-12450.75,25804.0,25804.0,
September 2011,,,,-12450.75,4585.0,4585.0,
December 2011,,,,-12450.75,1752.0,1752.0,
March 2012,,,,-13039.0,3713.0,3713.0,
June 2012,,,,-5668.0,813.0,813.0,
September 2012,,,,-8550.0,279.0,279.0,
December 2012,,,,-12189.0,279.0,279.0,
March 2013,,,,-22882.0,10096.0,10096.0,
June 2013,,,,-22477.0,368682.0,368682.0,
September 2013,,,,-5744.0,1259100.0,1259100.0,
December 2013,,,,,2207384.0,,
March 2014,,,,,,,
June 2014,,,,,,,
September 2014,,,,,,,
December 2014,,,,,,,
March 2015,,,,,,,
June 2015,,,,,,,
September 2015,,,,,,,
December 2015,,,,,,,
March 2016,,,,,,,
June 2016,,,,,,,
September 2016,,,,,,,
December 2016,,,,,,,
March 2017,111687.0,,,89134.0,,,
June 2017,111687.0,,,89134.0,,,
September 2017,98159.0,,,89134.0,,,
December 2017,169338.0,,,89134.0,1641385.0,1641385.0,
March 2018,134855.0,,,17549.0,,,
June 2018,76108.0,,,-315914.0,,,
September 2018,81182.0,,,-198162.0,1435248.0,1052748.0,382500.0
December 2018,302097.0,,,-472936.0,855417.0,625977.0,229440.0
March 2019,174565.0,,,-123523.0,750854.0,521414.0,229440.0
June 2019,189874.0,,,-242211.0,535537.0,306097.0,229440.0
September 2019,242693.0,,,-265481.0,386530.0,157090.0,229440.0
December 2019,336453.0,,,-382079.0,493845.0,493845.0,
March 2020,159568.0,6562.5,17038.0,-238877.0,403817.0,403817.0,
June 2020,997576.0,6562.5,30653.0,-1375031.0,2795997.0,2795997.0,
September 2020,623056.0,6562.5,7598.0,-633795.0,2204181.0,2086834.0,
December 2020,421519.0,6562.5,-5097.0,-789814.0,1426664.0,1426664.0,
March 2021,983586.0,48602.0,90393.0,-930702.0,5501187.0,5481812.0,
June 2021,539621.0,98846.0,45706.0,-461990.0,5003903.0,4974326.0,
September 2021,480508.0,70514.0,24618.0,6385119.0,11390250.0,11302132.0,
December 2021,806888.0,475948.0,2236.0,-1088686.0,10490189.0,10402320.0,
March 2022,543825.0,170279.0,36825.0,-604072.0,9715810.0,9618217.0,
June 2022,510851.0,105676.0,25918.0,-658402.0,9044715.0,8947385.0,
