,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2008,52025000.0,25950000.0,
June 2008,52025000.0,25950000.0,
September 2008,52025000.0,25950000.0,
December 2008,52025000.0,25950000.0,
March 2009,54200000.0,91400000.0,
June 2009,54200000.0,110400000.0,
September 2009,63700000.0,145800000.0,
December 2009,80300000.0,126300000.0,8257200000.0
March 2010,52500000.0,18300000.0,
June 2010,62600000.0,108900000.0,
September 2010,65000000.0,92800000.0,8819600000.0
December 2010,78500000.0,92700000.0,8832100000.0
March 2011,61400000.0,-152800000.0,9297600000.0
June 2011,70700000.0,10200000.0,9516900000.0
September 2011,71000000.0,21200000.0,9419700000.0
December 2011,79300000.0,12400000.0,9460500000.0
March 2012,84800000.0,78700000.0,9867200000.0
June 2012,83500000.0,84600000.0,10079300000.0
September 2012,90700000.0,115100000.0,10237800000.0
December 2012,86100000.0,2000000.0,10310600000.0
March 2013,86600000.0,91800000.0,10336300000.0
June 2013,87700000.0,40100000.0,10354300000.0
September 2013,98900000.0,107400000.0,10301700000.0
December 2013,94900000.0,90000000.0,10230500000.0
March 2014,95600000.0,120400000.0,10763200000.0
June 2014,108800000.0,130800000.0,10935000000.0
September 2014,119800000.0,37400000.0,10829600000.0
December 2014,121500000.0,67200000.0,10716300000.0
March 2015,102200000.0,128000000.0,10981300000.0
June 2015,95400000.0,49000000.0,10954200000.0
September 2015,100500000.0,28200000.0,11003700000.0
December 2015,125900000.0,117900000.0,11048800000.0
March 2016,119800000.0,50825000.0,11505400000.0
June 2016,116400000.0,50825000.0,11786900000.0
September 2016,125000000.0,50825000.0,12145700000.0
December 2016,128900000.0,50825000.0,12090100000.0
March 2017,121300000.0,-66925000.0,12247800000.0
June 2017,119900000.0,-66925000.0,12516500000.0
September 2017,110900000.0,-66925000.0,13051600000.0
December 2017,150100000.0,-66925000.0,12906400000.0
March 2018,121000000.0,-36700000.0,13207900000.0
June 2018,110200000.0,-36700000.0,12874700000.0
September 2018,160400000.0,-36700000.0,12824200000.0
December 2018,100100000.0,-36700000.0,12532900000.0
March 2019,137300000.0,,12978100000.0
June 2019,,,
September 2019,,,
December 2019,,,
March 2020,,,
June 2020,,,
September 2020,,,
December 2020,,,
March 2021,,,
June 2021,,,
September 2021,,,
December 2021,,,
