,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
September 2009,650000.0,17482750.0,1069250.0,
December 2009,650000.0,17482750.0,1069250.0,
March 2010,650000.0,17482750.0,1069250.0,
June 2010,650000.0,17482750.0,1069250.0,
September 2010,750000.0,17938000.0,-2304000.0,1072888000.0
December 2010,750000.0,17693000.0,-550000.0,
March 2011,750000.0,22580000.0,-3314000.0,
June 2011,750000.0,22115000.0,12634000.0,
September 2011,500000.0,23235000.0,14517000.0,1301655000.0
December 2011,500000.0,24979000.0,17670000.0,1299441000.0
March 2012,500000.0,28784000.0,19117000.0,1376683000.0
June 2012,500000.0,27598000.0,7404000.0,1365348000.0
September 2012,500000.0,26100000.0,10427000.0,1384544000.0
December 2012,500000.0,24942000.0,13839000.0,1395733000.0
March 2013,500000.0,25322000.0,-56030000.0,1364921000.0
June 2013,500000.0,26811000.0,20716000.0,1285606000.0
September 2013,900000.0,26109000.0,15388000.0,1289741000.0
December 2013,900000.0,28125000.0,15587000.0,1282578000.0
March 2014,900000.0,34800000.0,33588000.0,1314475000.0
June 2014,900000.0,36236000.0,47356000.0,1450572000.0
September 2014,625000.0,33729000.0,32786000.0,1517168000.0
December 2014,625000.0,32899000.0,50351000.0,1569382000.0
March 2015,625000.0,45595000.0,42811000.0,1690409000.0
June 2015,625000.0,39568000.0,66884000.0,1727115000.0
September 2015,675000.0,36549000.0,69433000.0,1790512000.0
December 2015,675000.0,38244000.0,44868000.0,1893515000.0
March 2016,675000.0,43280000.0,35352000.0,1870309000.0
June 2016,675000.0,40608000.0,33560000.0,1785884000.0
September 2016,1050000.0,41213000.0,24962000.0,1835774000.0
December 2016,1050000.0,39495000.0,34536000.0,1817350000.0
March 2017,1050000.0,42810000.0,32823000.0,2155978000.0
June 2017,1050000.0,47089000.0,23746000.0,2173827000.0
September 2017,1500000.0,47043000.0,26253000.0,2397705000.0
December 2017,1500000.0,50294000.0,61642000.0,2412690000.0
March 2018,1500000.0,51793000.0,32951000.0,2432055000.0
June 2018,1500000.0,51309000.0,30935000.0,2430583000.0
September 2018,1350000.0,50432000.0,17956000.0,2465464000.0
December 2018,1350000.0,47892000.0,2765000.0,2515124000.0
March 2019,1350000.0,54377000.0,15248000.0,2533221000.0
June 2019,1350000.0,60607000.0,35107000.0,2513188000.0
September 2019,1450000.0,54364000.0,7669000.0,2990637000.0
December 2019,1450000.0,54597000.0,13629000.0,2948776000.0
March 2020,1450000.0,49494000.0,27772000.0,2947660000.0
June 2020,1450000.0,46251000.0,-103000.0,3279031000.0
September 2020,1575000.0,43707000.0,-9972000.0,3173834000.0
December 2020,1575000.0,43400000.0,-9100000.0,3046084000.0
March 2021,1575000.0,49239000.0,19737000.0,3059365000.0
June 2021,1575000.0,55467000.0,31812000.0,3210167000.0
September 2021,,44300000.0,10800000.0,3390668000.0
December 2021,,54700000.0,12800000.0,3470000000.0
March 2022,,57400000.0,3100000.0,3612700000.0
