,OperatingExpenses,Assets,AssetsCurrent
December 2010,1244657.0,,
March 2011,14818405.0,,
June 2011,14420993.0,,
September 2011,17179917.0,,
December 2011,24879244.0,664349012.0,32127005.0
March 2012,30459932.0,725076029.0,43555334.0
June 2012,31883228.0,810050486.0,50843761.0
September 2012,45145014.0,925537805.0,52690203.0
December 2012,45814017.0,1002489807.0,55303536.0
March 2013,53034878.0,1048750286.0,61771258.0
June 2013,61912000.0,1195092636.0,110814888.0
September 2013,73703708.0,1299771823.0,101850394.0
December 2013,86214662.0,1545935000.0,264174000.0
March 2014,93760000.0,1620144000.0,227481000.0
June 2014,113041000.0,1647115000.0,152319000.0
September 2014,114897000.0,2066231000.0,214075000.0
December 2014,284441000.0,2006089000.0,208475000.0
March 2015,107603000.0,2114750000.0,247755000.0
June 2015,136845000.0,2092886000.0,168426000.0
September 2015,274489000.0,1943681000.0,169128000.0
December 2015,681186000.0,1273367000.0,120074000.0
March 2016,81477000.0,1420847000.0,287651000.0
June 2016,73263000.0,1298166000.0,221685000.0
September 2016,72204000.0,1224397000.0,176746000.0
December 2016,97461000.0,1134478000.0,112428000.0
March 2017,54655000.0,1135165000.0,127513000.0
June 2017,31657000.0,,
September 2017,37873000.0,,
December 2017,41996000.0,830371000.0,53153000.0
March 2018,41236000.0,872407000.0,58486000.0
June 2018,44473000.0,927442000.0,81838000.0
September 2018,41744000.0,938435000.0,106468000.0
December 2018,36810000.0,1061534000.0,134811000.0
March 2019,43030000.0,1103387000.0,119791000.0
June 2019,51128000.0,1145338000.0,92834000.0
September 2019,51860000.0,1199743000.0,119228000.0
December 2019,61644000.0,1206318000.0,110516000.0
March 2020,80386000.0,1264069000.0,164853000.0
June 2020,47448000.0,1190231000.0,103287000.0
September 2020,39827000.0,1148775000.0,89840000.0
December 2020,61574000.0,1182812000.0,92405000.0
March 2021,50672000.0,1208286000.0,104903000.0
June 2021,114624000.0,1916180000.0,142054000.0
September 2021,96097000.0,1937084000.0,159918000.0
December 2021,347158000.0,6741033000.0,719937000.0
March 2022,415831000.0,7033747000.0,674103000.0
June 2022,453626000.0,7414430000.0,1019457000.0
