,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2012,1880200000.0,21550000.0,,
June 2012,1880200000.0,21550000.0,,
September 2012,1831600000.0,21550000.0,,
December 2012,1695800000.0,21550000.0,2258500000.0,885400000.0
March 2013,1938400000.0,18600000.0,2693276000.0,1327380000.0
June 2013,1909000000.0,20200000.0,2800200000.0,1409500000.0
September 2013,1887100000.0,18900000.0,2686500000.0,1265800000.0
December 2013,2346000000.0,20000000.0,2533300000.0,1082600000.0
March 2014,2210700000.0,18700000.0,2769400000.0,1294000000.0
June 2014,2314400000.0,17900000.0,2785300000.0,1295600000.0
September 2014,2211300000.0,17300000.0,2691700000.0,1180600000.0
December 2014,1886100000.0,16800000.0,2417800000.0,888500000.0
March 2015,1195200000.0,18100000.0,2419500000.0,896900000.0
June 2015,1296700000.0,18600000.0,2516300000.0,997500000.0
September 2015,1224400000.0,18200000.0,2506200000.0,961900000.0
December 2015,1083800000.0,20200000.0,2189000000.0,629000000.0
March 2016,890000000.0,18500000.0,2116900000.0,547600000.0
June 2016,1074300000.0,16800000.0,2192700000.0,640000000.0
September 2016,1135100000.0,18100000.0,2277300000.0,737300000.0
December 2016,,18500000.0,2331900000.0,803600000.0
March 2017,1357500000.0,20000000.0,2371800000.0,857400000.0
June 2017,1345600000.0,19000000.0,2447100000.0,938600000.0
September 2017,1287100000.0,18800000.0,2500700000.0,1009300000.0
December 2017,,21100000.0,2270000000.0,700000000.0
March 2018,1361000000.0,16600000.0,2295300000.0,745800000.0
June 2018,,22000000.0,2366000000.0,843000000.0
September 2018,,18000000.0,2505000000.0,993000000.0
