,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets
March 2008,44609500.0,,11340500.0,
June 2008,44609500.0,,11340500.0,
September 2008,44609500.0,,11340500.0,
December 2008,44609500.0,,11340500.0,
March 2009,49708000.0,,10072000.0,
June 2009,49882000.0,,11722000.0,
September 2009,49776000.0,,10096000.0,
December 2009,51116000.0,,12416000.0,794433000.0
March 2010,56943000.0,325000.0,14800000.0,
June 2010,58700000.0,325000.0,19528000.0,915021000.0
September 2010,62721000.0,325000.0,18481000.0,947737000.0
December 2010,64480000.0,325000.0,20645000.0,995908000.0
March 2011,69072000.0,431437.0,23121000.0,1020099000.0
June 2011,70415000.0,431437.0,25574000.0,1021617000.0
September 2011,70446000.0,216820.0,25506000.0,1064104000.0
December 2011,72134000.0,220306.0,26590000.0,1071123000.0
March 2012,95725000.0,1100000.0,25462000.0,1142026000.0
June 2012,93289000.0,-200000.0,32015000.0,1173738000.0
September 2012,93461000.0,-100000.0,33314000.0,1169698000.0
December 2012,94262000.0,500000.0,35802000.0,1288956000.0
March 2013,103672000.0,,38600000.0,1382739000.0
June 2013,109135000.0,,43599000.0,1457246000.0
September 2013,118294000.0,,47338000.0,1547985000.0
December 2013,106507000.0,,45777000.0,1601232000.0
March 2014,122340000.0,,40840000.0,1642613000.0
June 2014,124879000.0,,37507000.0,1695362000.0
September 2014,150776000.0,,51167000.0,2757429000.0
December 2014,140906000.0,,46991000.0,2778751000.0
March 2015,149040000.0,,58135000.0,2700613000.0
June 2015,148318000.0,,51425000.0,2783756000.0
September 2015,175303000.0,,17396000.0,2984550000.0
December 2015,159013000.0,,40970000.0,2990567000.0
March 2016,153988000.0,,31983000.0,3268833000.0
June 2016,155700000.0,,36456000.0,3305596000.0
September 2016,154496000.0,,34306000.0,3279347000.0
December 2016,148190000.0,,-17648000.0,3163999000.0
March 2017,153301000.0,,48167000.0,3173849000.0
June 2017,152016000.0,,11673000.0,3360611000.0
September 2017,146759000.0,,15555000.0,3460777000.0
December 2017,150498000.0,,86870000.0,3697764000.0
March 2018,169569000.0,,21106000.0,3699581000.0
June 2018,163369000.0,,19588000.0,3595110000.0
September 2018,173486000.0,,9927000.0,3656763000.0
December 2018,183147000.0,,14942000.0,3909559000.0
March 2019,190934000.0,,15227000.0,4106334000.0
June 2019,187496000.0,,18619000.0,4165414000.0
September 2019,181188000.0,,24971000.0,4118280000.0
December 2019,185751000.0,,27341000.0,4423891000.0
March 2020,191244000.0,,19135000.0,4350099000.0
June 2020,160630000.0,,57914000.0,4197824000.0
September 2020,179198000.0,,42492000.0,4197249000.0
December 2020,184641000.0,,29798000.0,4453061000.0
March 2021,178715000.0,,58406000.0,4278530000.0
June 2021,181415000.0,,55996000.0,4261293000.0
September 2021,186119000.0,,34480000.0,4331960000.0
December 2021,174487000.0,,34276000.0,4366243000.0
March 2022,168638000.0,,39972000.0,4257833000.0
June 2022,174525000.0,,36484000.0,4088753000.0
