,Assets,AssetsCurrent,AssetsNoncurrent
March 2011,,,
June 2011,387918322.0,7701049.0,380217273.0
September 2011,385415804.0,9041620.0,376374184.0
December 2011,384955000.0,12420000.0,372535000.0
March 2012,378036000.0,9295000.0,368741000.0
June 2012,374001000.0,9061000.0,364940000.0
September 2012,368127000.0,7032000.0,361095000.0
December 2012,364370000.0,7117000.0,357253000.0
March 2013,359431000.0,5909000.0,353522000.0
June 2013,378102000.0,28344000.0,349758000.0
September 2013,457397000.0,69200000.0,388197000.0
December 2013,557367000.0,66690000.0,490677000.0
March 2014,553564000.0,49704000.0,503860000.0
June 2014,546861000.0,34993000.0,511868000.0
September 2014,539004000.0,32142000.0,506862000.0
December 2014,568218000.0,19383000.0,548835000.0
March 2015,540425000.0,23328000.0,517097000.0
