,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
December 2009,,1744500.0,,
March 2010,,1744500.0,,
June 2010,,1783000.0,,
September 2010,,2103000.0,25239000.0,13367000.0
December 2010,,1561500.0,,
March 2011,,1561500.0,,
June 2011,,1760000.0,26101000.0,14147000.0
September 2011,,2542000.0,21917000.0,12572000.0
December 2011,,,22953000.0,13597000.0
March 2012,,,22864000.0,13485000.0
June 2012,,,26100000.0,16397000.0
September 2012,,,26422000.0,16766000.0
December 2012,,,25828000.0,16209000.0
March 2013,,,26605000.0,17032000.0
June 2013,,,26306000.0,16474000.0
September 2013,,,25758000.0,15950000.0
December 2013,,,25185000.0,16428000.0
March 2014,,,25045000.0,16307000.0
June 2014,,,25440000.0,16729000.0
September 2014,,,30072000.0,16874000.0
December 2014,,,29899000.0,16729000.0
March 2015,,,21236000.0,8026000.0
June 2015,,,21331000.0,8319000.0
September 2015,,,28624000.0,10255000.0
December 2015,,,29222000.0,10802000.0
March 2016,,,30030000.0,11754000.0
June 2016,,,65110000.0,12377000.0
September 2016,,,65074000.0,10606000.0
December 2016,,,64946000.0,10388000.0
March 2017,,,66714000.0,12719000.0
June 2017,,,67081000.0,13845000.0
September 2017,,,69724000.0,17439000.0
December 2017,31113500.0,,65288000.0,16672000.0
March 2018,31113500.0,,64461000.0,16869000.0
June 2018,31113500.0,,66304000.0,19866000.0
September 2018,31113500.0,,62541000.0,17395000.0
December 2018,31195000.0,,63757000.0,19715000.0
March 2019,31430000.0,,59527000.0,16366000.0
June 2019,43899000.0,,135014000.0,32744000.0
September 2019,43899000.0,,129258000.0,26847000.0
December 2019,49112000.0,,154140000.0,30289000.0
March 2020,50961000.0,,159424000.0,39024000.0
June 2020,,,151440000.0,34065000.0
September 2020,,,183562000.0,37397000.0
December 2020,,,191866000.0,48723000.0
March 2021,,,186156000.0,45564000.0
June 2021,,,178751000.0,40780000.0
September 2021,,,197170000.0,61763000.0
December 2021,,,187993000.0,55961000.0
March 2022,,,195754000.0,66110000.0
June 2022,,,183136000.0,55814000.0
