,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2007,922694000.0,,108030000.0,,,
June 2007,922694000.0,,108030000.0,,,
September 2007,922694000.0,,108030000.0,,,
December 2007,922694000.0,,108030000.0,,,
March 2008,994335000.0,,71051000.0,,,
June 2008,1053281000.0,,115507000.0,6211732000.0,1355046000.0,
September 2008,1130537000.0,,118382000.0,6255488000.0,1320110000.0,
December 2008,1313088000.0,,-11267000.0,6587845000.0,1272292000.0,
March 2009,1634924000.0,,-343803000.0,5860539000.0,1132297000.0,
June 2009,857975000.0,,55311000.0,5823364000.0,1063852000.0,
September 2009,947654000.0,,92584000.0,5872572000.0,970549000.0,
December 2009,889045000.0,,72634000.0,5990952000.0,1061658000.0,
March 2010,751848000.0,,41772000.0,5981847000.0,989761000.0,
June 2010,817782000.0,,48938000.0,6112806000.0,969299000.0,
September 2010,1016961000.0,,61010000.0,6216955000.0,1035523000.0,
December 2010,912377000.0,,88939000.0,6303549000.0,1167168000.0,
March 2011,823739000.0,,42977000.0,6191291000.0,1064003000.0,
June 2011,848454000.0,,45067000.0,6257381000.0,1071031000.0,
September 2011,1032760000.0,,63974000.0,6359953000.0,1132018000.0,
December 2011,939172000.0,,61008000.0,6556125000.0,1194638000.0,
March 2012,781750000.0,,35790000.0,6538631000.0,1078153000.0,
June 2012,876248000.0,,54113000.0,6901570000.0,1233824000.0,
September 2012,1207553000.0,,-29671000.0,6902671000.0,1249400000.0,
December 2012,1190673000.0,,-60986000.0,6682491000.0,1128081000.0,
March 2013,827073000.0,,56515000.0,6828182000.0,1149234000.0,
June 2013,969217000.0,,46512000.0,7091671000.0,1292247000.0,
September 2013,1135909000.0,,84456000.0,7167108000.0,1254970000.0,
December 2013,1037306000.0,,91450000.0,7061332000.0,1116688000.0,
March 2014,939949000.0,,56662000.0,7408849000.0,1204530000.0,
June 2014,995112000.0,,54106000.0,7692329000.0,1300218000.0,
September 2014,1193690000.0,,103209000.0,7774094000.0,1417672000.0,
December 2014,1053582000.0,,84256000.0,7809978000.0,1194973000.0,
March 2015,818680000.0,,-305917000.0,7321795000.0,1169971000.0,
June 2015,878330000.0,,-229604000.0,7252877000.0,1283297000.0,
September 2015,1170757000.0,,-139448000.0,6985319000.0,1196644000.0,1898425000.0
December 2015,1007092000.0,,52534000.0,6627608000.0,1021042000.0,1559658000.0
March 2016,798229000.0,723377500.0,24869000.0,6618400000.0,1054936000.0,1487029000.0
June 2016,954983000.0,723377500.0,-109153000.0,6351526000.0,1076066000.0,1176307000.0
September 2016,1061883000.0,723377500.0,82986000.0,6353206000.0,1144625000.0,1077654000.0
December 2016,904613000.0,723377500.0,65731000.0,6284467000.0,977475000.0,1249799000.0
March 2017,870813000.0,690245000.0,37325000.0,6148458000.0,942073000.0,1142602000.0
June 2017,987960000.0,690245000.0,41215000.0,6230498000.0,1015970000.0,1129518000.0
September 2017,1116171000.0,973966000.0,87351000.0,6344445000.0,1099242000.0,1120179000.0
December 2017,1039695000.0,781010000.0,115312000.0,6334666000.0,1069995000.0,1047870000.0
March 2018,906917000.0,600856000.0,42437000.0,6348852000.0,1040814000.0,1052104000.0
June 2018,990605000.0,822084000.0,43802000.0,6533970000.0,1116192000.0,1059969000.0
September 2018,1140783000.0,996591000.0,107251000.0,6718193000.0,1214045000.0,1054534000.0
December 2018,1091524000.0,836590000.0,78828000.0,6988110000.0,1184132000.0,1086681000.0
March 2019,1026973000.0,702914000.0,40926000.0,7278923000.0,1235229000.0,1255696000.0
June 2019,1206262000.0,1021031000.0,61825000.0,7591493000.0,1444810000.0,1278557000.0
September 2019,1374329000.0,1212620000.0,137637000.0,7730611000.0,1461815000.0,1322553000.0
December 2019,1247992000.0,958729000.0,95065000.0,7683059000.0,1297701000.0,1319560000.0
March 2020,1140303000.0,821000000.0,25130000.0,7850516000.0,1373388000.0,6477128000.0
June 2020,1224674000.0,1029171000.0,99703000.0,7911132000.0,1396770000.0,6514362000.0
September 2020,1383578000.0,1214019000.0,153078000.0,8125499000.0,1502557000.0,6622942000.0
December 2020,1239270000.0,964072000.0,112294000.0,8053372000.0,1337347000.0,6716025000.0
March 2021,1142774000.0,811659000.0,52131000.0,8069275000.0,1323274000.0,6746001000.0
June 2021,1285968000.0,1077796000.0,100190000.0,8298211000.0,1461945000.0,6836266000.0
September 2021,1396844000.0,1212898000.0,139276000.0,8568863000.0,1565887000.0,7002976000.0
December 2021,1320928000.0,976270000.0,86534000.0,8910435000.0,1550943000.0,7359492000.0
March 2022,1349216000.0,907897000.0,31763000.0,8970715000.0,1571908000.0,7398807000.0
June 2022,1600351000.0,1316801000.0,70667000.0,9329125000.0,1859231000.0,7469894000.0
