,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2019,4779000.0,3703000.0,,
June 2019,5885000.0,4853000.0,,
September 2019,6868000.0,5618000.0,,
December 2019,8845000.0,6821000.0,102695000.0,98572000.0
March 2020,10815000.0,8632000.0,,
June 2020,12323000.0,8951000.0,381731000.0,377264000.0
September 2020,14087000.0,10091000.0,370242000.0,361265000.0
December 2020,17212000.0,12417000.0,357086000.0,346552000.0
March 2021,21746000.0,16509000.0,339068000.0,328210000.0
June 2021,26946000.0,20205000.0,320651000.0,309188000.0
September 2021,31957000.0,25361000.0,295645000.0,280376000.0
December 2021,35611000.0,27972000.0,368715000.0,351414000.0
March 2022,35237000.0,26458000.0,337149000.0,319228000.0
June 2022,39413000.0,31475000.0,308044000.0,289738000.0
