,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2016,2447500000.0,,
June 2016,2447500000.0,,
September 2016,2447500000.0,,
December 2016,2447500000.0,,
March 2017,2507500000.0,,
June 2017,2507500000.0,,
September 2017,2507500000.0,,
December 2017,2507500000.0,61759000000.0,9311000000.0
March 2018,2745000000.0,,
June 2018,2837000000.0,,
September 2018,2872000000.0,,
December 2018,3480000000.0,153226000000.0,20430000000.0
March 2019,3303000000.0,154348000000.0,21136000000.0
June 2019,3380000000.0,154401000000.0,20709000000.0
September 2019,3413000000.0,154847000000.0,21168000000.0
December 2019,3957000000.0,155774000000.0,29845000000.0
March 2020,3398000000.0,154711000000.0,30877000000.0
June 2020,3407000000.0,159628000000.0,34880000000.0
September 2020,3301000000.0,160044000000.0,34557000000.0
December 2020,3966000000.0,155451000000.0,27799000000.0
March 2021,3279000000.0,152081000000.0,25554000000.0
June 2021,2996000000.0,154207000000.0,25011000000.0
September 2021,3093000000.0,154251000000.0,25487000000.0
December 2021,3662000000.0,154889000000.0,36134000000.0
March 2022,3299000000.0,152610000000.0,35393000000.0
June 2022,3256000000.0,152630000000.0,37422000000.0
