,NetIncomeLoss,Assets,AssetsCurrent
December 2008,5816500.0,,
March 2009,5816500.0,,
June 2009,5816500.0,,
September 2009,5816500.0,,
December 2009,7939000.0,,
March 2010,7939000.0,,
June 2010,6039000.0,,
September 2010,9061000.0,,
December 2010,8044000.0,,
March 2011,9998000.0,,
June 2011,11986000.0,,
September 2011,8527000.0,,
December 2011,8545000.0,,
March 2012,8736000.0,,
June 2012,9638000.0,,
September 2012,8977000.0,,
December 2012,15477000.0,,
March 2013,11875000.0,,
June 2013,8277000.0,,
