,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2008,1148750.0,10902000.0,,
June 2008,1148750.0,10902000.0,,
September 2008,1148750.0,10902000.0,,
December 2008,1148750.0,10902000.0,,
March 2009,801000.0,14585000.0,,
June 2009,2487000.0,16051000.0,,
September 2009,3863000.0,22027000.0,,
December 2009,3351000.0,16188000.0,1855001000.0,195255000.0
March 2010,3267000.0,1838000.0,,
June 2010,3614000.0,-1437000.0,1940759000.0,189301000.0
September 2010,1252000.0,32459000.0,1964709000.0,218771000.0
December 2010,1987000.0,4458000.0,2043328000.0,204654000.0
March 2011,2207000.0,-8975000.0,2093947000.0,230980000.0
June 2011,2575000.0,8133000.0,2110813000.0,215425000.0
September 2011,2346000.0,866000.0,2210721000.0,248672000.0
December 2011,1673000.0,-43080000.0,2314718000.0,292185000.0
March 2012,1048000.0,7895000.0,2327769000.0,275473000.0
June 2012,1464000.0,8641000.0,2294100000.0,275463000.0
September 2012,1436000.0,-582000.0,2258363000.0,266522000.0
December 2012,2160000.0,-222384000.0,2087523000.0,276234000.0
March 2013,1000000.0,-1982000.0,2143568000.0,299813000.0
June 2013,1608000.0,25185000.0,2137900000.0,268485000.0
September 2013,838000.0,12950000.0,2168335000.0,299099000.0
December 2013,1519000.0,8162000.0,2159433000.0,289340000.0
March 2014,-87000.0,21552000.0,2134347000.0,292613000.0
June 2014,232000.0,9136000.0,2144929000.0,306823000.0
September 2014,250000.0,16514000.0,2171913000.0,327381000.0
December 2014,388000.0,6980000.0,2121556000.0,273874000.0
March 2015,363000.0,10032000.0,2183333000.0,307060000.0
June 2015,414000.0,14414000.0,2276550000.0,369506000.0
September 2015,335000.0,72139000.0,2286333000.0,370732000.0
December 2015,668000.0,22988000.0,2273982000.0,375136000.0
March 2016,349000.0,29271000.0,2260134000.0,379565000.0
June 2016,595000.0,24349000.0,2273013000.0,380236000.0
September 2016,1086000.0,12080000.0,2279271000.0,309372000.0
December 2016,732000.0,28230000.0,2461569000.0,472830000.0
March 2017,602000.0,35312000.0,2499888000.0,428749000.0
June 2017,1050000.0,8640000.0,2510633000.0,387236000.0
September 2017,716000.0,23960000.0,2503738000.0,332245000.0
December 2017,789000.0,64620000.0,2586662000.0,321646000.0
March 2018,1108000.0,69508000.0,2710817000.0,322130000.0
June 2018,1251000.0,-343000.0,2994149000.0,395634000.0
September 2018,706000.0,10581000.0,3059583000.0,421774000.0
December 2018,1118000.0,18220000.0,3121350000.0,473064000.0
March 2019,900000.0,25946000.0,3143214000.0,421621000.0
June 2019,810000.0,33938000.0,3193781000.0,412351000.0
September 2019,1062000.0,15605000.0,3259493000.0,432310000.0
December 2019,1875000.0,12606000.0,3250494000.0,415664000.0
March 2020,1619000.0,26033000.0,3445613000.0,584286000.0
June 2020,1172000.0,23046000.0,3418377000.0,517069000.0
September 2020,1490000.0,15679000.0,3520947000.0,532591000.0
December 2020,1114000.0,20698000.0,3888987000.0,779154000.0
March 2021,876000.0,15259000.0,3859213000.0,724935000.0
June 2021,1128000.0,13026000.0,3818550000.0,587989000.0
September 2021,1175000.0,14902000.0,4359366000.0,635439000.0
December 2021,950000.0,18905000.0,4425678000.0,601932000.0
March 2022,1064000.0,18430000.0,4414189000.0,507989000.0
June 2022,1388000.0,11260000.0,4541976000.0,585608000.0
