,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2017,939304.0,17495.0,,
June 2017,939304.0,17495.0,,
September 2017,954562.0,31775.0,,
December 2017,1230570.0,74007.0,1826332.0,757674.0
March 2018,1481359.0,76426.0,,
June 2018,1287657.0,78805.0,,
September 2018,1289697.0,43261.0,2700479.0,1432965.0
December 2018,1489827.0,45202.0,2228427.0,1314331.0
March 2019,1470985.0,43543.0,2522360.0,1499372.0
June 2019,1614351.0,35972.0,1951437.0,963689.0
September 2019,1390537.0,123904.0,1783274.0,767947.0
