,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
June 2009,4079750.0,1535000.0,,
September 2009,4079750.0,1535000.0,,
December 2009,4079750.0,1535000.0,,
March 2010,4079750.0,1535000.0,,
June 2010,4219000.0,1506000.0,,
September 2010,4013000.0,1496000.0,,
December 2010,4092000.0,1479000.0,,
March 2011,4175000.0,1475000.0,40038000.0,12531000.0
June 2011,4415000.0,1484000.0,39294000.0,11814000.0
September 2011,3951000.0,1384000.0,38621000.0,11184000.0
December 2011,4103000.0,1485000.0,38181000.0,10814000.0
March 2012,4262000.0,1534000.0,37814000.0,10441000.0
June 2012,3755000.0,1235000.0,37199000.0,9861000.0
September 2012,3637000.0,1264000.0,36551000.0,9216000.0
December 2012,2988000.0,916000.0,36877000.0,9564000.0
March 2013,1688000.0,1833000.0,41151000.0,8012000.0
June 2013,3927000.0,999000.0,40810000.0,7701000.0
September 2013,3895000.0,1090000.0,40177000.0,7083000.0
December 2013,3936000.0,1178000.0,44965000.0,25420000.0
March 2014,4893000.0,1174000.0,41739000.0,22289000.0
June 2014,5160000.0,1086000.0,38570000.0,18926000.0
September 2014,4475000.0,1143000.0,35810000.0,16233000.0
December 2014,22260000.0,780000.0,15408000.0,14168000.0
March 2015,3729000.0,977000.0,13382000.0,12002000.0
June 2015,3171000.0,595000.0,11979000.0,10652000.0
September 2015,2880000.0,683000.0,10148000.0,9031000.0
December 2015,2620000.0,688000.0,8926000.0,7890000.0
