,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2010,528590.5,-482902.0,,
June 2010,528590.5,-482902.0,,
September 2010,430778.0,-223754.0,,
December 2010,469390.0,-761396.0,596154.0,567548.0
March 2011,605290.0,29520.0,,
June 2011,602958.0,-1235062.0,,
September 2011,615184.0,339548.0,783063.0,702748.0
December 2011,813654.0,-40639622.0,530893.0,387335.0
March 2012,718392.0,9464974.0,543000.0,355732.0
June 2012,1872191.0,18320080.0,498615.0,279331.0
September 2012,306765.0,4597909.0,150665.0,140989.0
