,OperatingExpenses,NetIncomeLoss,Assets
June 2015,29740750.0,0.0,
September 2015,29740750.0,0.0,
December 2015,29740750.0,0.0,
March 2016,29740750.0,0.0,
June 2016,22706000.0,0.0,
September 2016,27801000.0,0.0,
December 2016,25579000.0,0.0,
March 2017,27619000.0,612000.0,240617000.0
June 2017,28420000.0,5464000.0,264543000.0
September 2017,28703000.0,4688000.0,271178000.0
December 2017,30710000.0,-6309000.0,273046000.0
March 2018,33247000.0,13498000.0,293795000.0
June 2018,37670000.0,8845000.0,306735000.0
September 2018,34466000.0,11222000.0,356241000.0
December 2018,37759000.0,5458000.0,363852000.0
March 2019,38060000.0,8048000.0,360591000.0
June 2019,37693000.0,11381000.0,392844000.0
September 2019,37367000.0,15299000.0,445382000.0
December 2019,39246000.0,13497000.0,469379000.0
March 2020,43313000.0,20648000.0,473529000.0
June 2020,40911000.0,3246000.0,526507000.0
September 2020,46117000.0,21813000.0,608089000.0
December 2020,41864000.0,33203000.0,715829000.0
March 2021,57015000.0,39760000.0,1136519000.0
June 2021,43245000.0,28168000.0,1139302000.0
September 2021,49819000.0,52145000.0,1233973000.0
December 2021,50658000.0,51849000.0,1279453000.0
March 2022,54633000.0,13824000.0,1294946000.0
June 2022,72984000.0,33484000.0,1352304000.0
