,NetIncomeLoss,Assets
March 2009,467463.5,
June 2009,467463.5,
September 2009,467463.5,
December 2009,467463.5,
March 2010,726867.0,
June 2010,728842.0,
September 2010,821601.0,
December 2010,833203.0,280521267.0
March 2011,649368.0,
June 2011,768025.0,299120313.0
September 2011,649368.0,373418654.0
December 2011,834952.0,340502378.0
March 2012,890726.0,343711052.0
June 2012,890267.0,311302661.0
September 2012,893662.0,307466670.0
December 2012,992173.0,325410646.0
March 2013,998805.0,328647570.0
June 2013,1044074.0,340502378.0
September 2013,1064177.0,334189870.0
December 2013,969868.0,340893703.0
March 2014,955798.0,336618121.0
June 2014,1109927.0,359078204.0
September 2014,1141713.0,376605878.0
December 2014,1191382.0,367225802.0
March 2015,1204960.0,376587308.0
June 2015,1253438.0,369641158.0
September 2015,1198919.0,384559093.0
December 2015,1226971.0,399172512.0
March 2016,1195736.0,403693992.0
June 2016,1312110.0,424944857.0
September 2016,1426338.0,409566425.0
December 2016,1312879.0,413949636.0
March 2017,1226088.0,428796627.0
June 2017,1386385.0,430303999.0
September 2017,1440653.0,431474309.0
December 2017,848699.0,446566498.0
March 2018,1612230.0,434649189.0
June 2018,1726357.0,426770905.0
September 2018,1778153.0,428377382.0
December 2018,1806194.0,429135198.0
March 2019,1689264.0,431823822.0
June 2019,1840847.0,442374445.0
September 2019,2014791.0,453060365.0
December 2019,1773529.0,445012520.0
March 2020,1521131.0,499720200.0
June 2020,1501023.0,542621550.0
September 2020,1703271.0,529100090.0
December 2020,1735206.0,532494599.0
March 2021,1810075.0,554099360.0
June 2021,1668684.0,581915387.0
September 2021,1726937.0,691778578.0
December 2021,1539169.0,679220646.0
March 2022,1464106.0,664993337.0
June 2022,1542982.0,655465190.0
