,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2019,5351250.0,-5151500.0,,
June 2019,5351250.0,-5151500.0,,
September 2019,5351250.0,-5151500.0,,
December 2019,5351250.0,-5151500.0,,
March 2020,9840000.0,-9639000.0,,
June 2020,9840000.0,-9639000.0,,
September 2020,6878000.0,-8538000.0,,
December 2020,1920000.0,-19536000.0,316328000.0,183698000.0
March 2021,7409000.0,13031000.0,,
June 2021,4662000.0,19809000.0,,
September 2021,9079000.0,19348000.0,921984000.0,669528000.0
December 2021,21679000.0,34230000.0,940060000.0,670022000.0
March 2022,28787000.0,2803000.0,983770000.0,701409000.0
June 2022,44000000.0,-99050000.0,914075000.0,620135000.0
