,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2009,24374500.0,8165250.0,,
June 2009,24374500.0,8165250.0,,
September 2009,24374500.0,8165250.0,,
December 2009,24374500.0,8165250.0,,
March 2010,23437000.0,9133000.0,,
June 2010,23547000.0,9477000.0,,
September 2010,24908000.0,9872000.0,,
December 2010,27313000.0,11042000.0,280872000.0,228630000.0
March 2011,28692000.0,11818000.0,,
June 2011,27920000.0,11829000.0,287412000.0,231276000.0
September 2011,27084000.0,11389000.0,272669000.0,215602000.0
December 2011,23909000.0,12140000.0,269245000.0,212033000.0
March 2012,28932000.0,11669000.0,255810000.0,206933000.0
June 2012,23350000.0,10478000.0,253020000.0,205625000.0
September 2012,22224000.0,9851000.0,236589000.0,188451000.0
December 2012,14603000.0,8403000.0,222158000.0,175225000.0
March 2013,22430000.0,9206000.0,215957000.0,169942000.0
June 2013,20131000.0,8503000.0,213770000.0,167400000.0
September 2013,19754000.0,8148000.0,227281000.0,178603000.0
December 2013,20238000.0,8899000.0,233549000.0,184908000.0
March 2014,21414000.0,9257000.0,232703000.0,184169000.0
June 2014,20536000.0,8845000.0,226581000.0,181877000.0
September 2014,20509000.0,7950000.0,220543000.0,175995000.0
December 2014,18366000.0,7481000.0,227654000.0,185135000.0
March 2015,19938000.0,8199000.0,276157000.0,234386000.0
June 2015,19996000.0,7899000.0,295313000.0,250738000.0
September 2015,21487000.0,8581000.0,292799000.0,248642000.0
December 2015,19567000.0,7907000.0,288280000.0,236453000.0
March 2016,20920000.0,8636000.0,293334000.0,236313000.0
June 2016,20500000.0,8478000.0,299288000.0,242703000.0
September 2016,20473000.0,8493000.0,291150000.0,232318000.0
December 2016,21082000.0,8795000.0,302231000.0,240729000.0
March 2017,24001000.0,9895000.0,322607000.0,260084000.0
June 2017,26532000.0,11256000.0,354742000.0,289678000.0
September 2017,25916000.0,11003000.0,383105000.0,314631000.0
December 2017,25956000.0,10917000.0,488218000.0,339775000.0
March 2018,28654000.0,12233000.0,505144000.0,361597000.0
June 2018,29733000.0,12553000.0,508431000.0,362935000.0
September 2018,29245000.0,12845000.0,519232000.0,367283000.0
December 2018,32045000.0,14245000.0,548441000.0,396771000.0
March 2019,30410000.0,13685000.0,543455000.0,380412000.0
June 2019,29739000.0,13720000.0,517082000.0,345357000.0
September 2019,28694000.0,12930000.0,530477000.0,353915000.0
December 2019,31104000.0,13596000.0,548094000.0,375679000.0
March 2020,31846000.0,14606000.0,562573000.0,391672000.0
June 2020,35518000.0,16040000.0,588564000.0,420699000.0
September 2020,34279000.0,14867000.0,590656000.0,435768000.0
December 2020,38900000.0,16320000.0,624624000.0,470791000.0
March 2021,36085000.0,15685000.0,629292000.0,479592000.0
June 2021,40017000.0,16623000.0,660640000.0,514131000.0
September 2021,40118000.0,16707000.0,710978000.0,570144000.0
December 2021,42900000.0,16416000.0,753240000.0,619246000.0
March 2022,40843000.0,16973000.0,782196000.0,648706000.0
June 2022,45036000.0,18731000.0,811736000.0,679728000.0
