,OperatingExpenses,Assets,AssetsCurrent
March 2010,160424.0,,
June 2010,160424.0,,
September 2010,361267.0,,
December 2010,190869.0,15294506.0,587665.0
March 2011,174589.0,,
June 2011,179323.0,,
September 2011,166683.0,15717148.0,2123764.0
December 2011,106979.0,15501888.0,2009735.0
March 2012,191511.0,15973745.0,2292210.0
June 2012,188059.0,15622970.0,2039233.0
September 2012,225315.0,15507422.0,622987.0
December 2012,178900.0,14816360.0,460486.0
March 2013,150653.0,14730833.0,482154.0
June 2013,176222.0,14479824.0,338339.0
September 2013,144552.0,14628988.0,2272198.0
December 2013,175355.0,14220915.0,2414005.0
March 2014,150854.0,14225731.0,
June 2014,168349.0,14326593.0,
September 2014,146593.0,14346481.0,
December 2014,236154.0,14003222.0,1830155.0
March 2015,164646.0,14034858.0,2385571.0
June 2015,179624.0,13844743.0,3061712.0
September 2015,171441.0,13703985.0,3102232.0
December 2015,229798.0,13325057.0,3078591.0
March 2016,207532.0,13261406.0,1378493.0
June 2016,174452.0,13016070.0,1239374.0
September 2016,152916.0,12919426.0,1248947.0
December 2016,162105.0,12717084.0,1152822.0
March 2017,182472.0,12731080.0,1273035.0
June 2017,160157.0,12544443.0,
September 2017,141074.0,12495226.0,
December 2017,151171.0,12242493.0,1031804.0
March 2018,140358.0,12260163.0,
June 2018,142796.0,12076076.0,
September 2018,134180.0,11988336.0,
December 2018,143382.0,16057858.0,6266802.0
March 2019,141130.0,15689089.0,6983179.0
June 2019,163340.0,15595398.0,3388032.0
September 2019,143637.0,15400962.0,3288026.0
December 2019,139650.0,15028294.0,3000960.0
March 2020,153443.0,14852563.0,
June 2020,137349.0,14690050.0,2830460.0
September 2020,146992.0,14703944.0,2952596.0
December 2020,142994.0,14606324.0,2967189.0
March 2021,160298.0,14519527.0,2980983.0
June 2021,659779.0,13920113.0,6612671.0
September 2021,57490.0,11692909.0,9590148.0
December 2021,58198.0,7386906.0,5310826.0
March 2022,63643.0,4265858.0,3524041.0
June 2022,402768.0,1366232.0,991696.0
