,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets
June 2010,3630465.0,,-2525234.0,
September 2010,4523020.0,,-2938890.0,
December 2010,4475336.0,,-2887349.0,
March 2011,,,-2948670.0,169868390.0
June 2011,5892204.0,,-3106678.0,
September 2011,6750320.0,,-3346357.0,264482592.0
December 2011,7260967.0,,-2867100.0,326797460.0
March 2012,7838000.0,,-2624000.0,403329609.0
June 2012,9188586.0,,-2525808.0,512570611.0
September 2012,10779000.0,,-881587.0,669349752.0
December 2012,12863414.0,,-830605.0,850830000.0
March 2013,16211000.0,3882000.0,40000.0,1072724000.0
June 2013,19057000.0,3882000.0,1697000.0,1318560000.0
September 2013,24787000.0,3882000.0,2713000.0,1611648000.0
December 2013,30639000.0,3882000.0,2858000.0,1943395000.0
March 2014,46017000.0,9629500.0,-7299000.0,2229360000.0
June 2014,56772000.0,9629500.0,-9187000.0,2580624000.0
September 2014,63016000.0,9629500.0,-7371000.0,2814846000.0
December 2014,76827000.0,9629500.0,-9037000.0,3890054000.0
March 2015,86979000.0,13898000.0,-6374000.0,4327588000.0
June 2015,100668000.0,18214000.0,-4140000.0,4782814000.0
September 2015,114093000.0,21063000.0,950000.0,5359750000.0
December 2015,130365000.0,23887000.0,4569000.0,5793634000.0
March 2016,148006000.0,24198000.0,4137000.0,5948343000.0
June 2016,188737000.0,29209000.0,-81351000.0,5622358000.0
September 2016,151251000.0,29428000.0,-36486000.0,5607737000.0
December 2016,163015000.0,32522000.0,-32269000.0,5562631000.0
March 2017,154366000.0,35760000.0,-29844000.0,5232140000.0
June 2017,165069000.0,35718000.0,-25454000.0,5029438000.0
September 2017,160676000.0,32860000.0,-6530000.0,4753104000.0
December 2017,247842000.0,37926000.0,-92007000.0,4640831000.0
March 2018,182808000.0,36837000.0,-31181000.0,4259115000.0
June 2018,237767000.0,37650000.0,-60861000.0,3949083000.0
September 2018,207432000.0,41216000.0,-22804000.0,3589968000.0
December 2018,194915000.0,39552000.0,-13462000.0,3819527000.0
March 2019,194318000.0,42546000.0,-19935000.0,3417081000.0
June 2019,201877000.0,43299000.0,-10661000.0,3066906000.0
September 2019,205191000.0,41455000.0,-383000.0,3049660000.0
December 2019,188112000.0,41080000.0,234000.0,2982341000.0
March 2020,167974000.0,38710000.0,-48087000.0,2784553000.0
June 2020,122340000.0,39167000.0,-78471000.0,2452599000.0
September 2020,109112000.0,31984000.0,-34325000.0,1979457000.0
December 2020,102893000.0,29189000.0,-26655000.0,1863293000.0
March 2021,,,4645000.0,4491089000.0
June 2021,,,4645000.0,4370101000.0
September 2021,,,4645000.0,4750760000.0
December 2021,,,4645000.0,4900319000.0
March 2022,,,,5574425000.0
June 2022,,,,6186765000.0
