,OperatingExpenses,NetIncomeLoss
June 2009,15265.25,-15265.25
September 2009,15265.25,-15265.25
December 2009,15265.25,-15265.25
March 2010,5697.0,-5697.0
June 2010,2168.0,-2168.0
September 2010,2267.0,-2267.0
December 2010,15265.25,-15265.25
March 2011,5943.0,-5943.0
June 2011,4267.0,-4267.0
September 2011,2789.0,-2789.0
