,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2010,3196913.0,,1566980.0,,
December 2010,3032128.0,,1935737.0,,
March 2011,1969096.0,,3318430.0,,
June 2011,3380490.0,,-1093059.0,85646380.0,34590439.0
September 2011,2970490.0,,-1458708.0,81228895.0,28808066.0
December 2011,3485579.0,,319567.0,85978439.0,31333801.0
March 2012,3532652.0,,1684227.0,91412594.0,35804892.0
June 2012,4244198.0,,1901458.0,91347214.0,36278106.0
September 2012,3813267.0,26683.0,929125.0,96560928.0,40697263.0
December 2012,3805781.0,33239.0,2222983.0,98554138.0,41162045.0
March 2013,3846261.0,45770.0,1562835.0,101149271.0,41810476.0
June 2013,4710821.0,53129.0,3148200.0,102704115.0,42074279.0
September 2013,4920499.0,58688.0,-1097115.0,102347114.0,41870013.0
December 2013,4377273.0,55114.0,-1626908.0,102069263.0,39283103.0
March 2014,5062465.0,65060.0,-1299804.0,103688249.0,35383723.0
June 2014,7394059.0,70850.0,-7332220.0,94903274.0,26862560.0
September 2014,5455153.0,66265.0,-1838026.0,92483557.0,28738213.0
December 2014,6005149.0,80437.0,-1367166.0,92159318.0,29068597.0
March 2015,6344502.0,84038.0,-1636245.0,89242257.0,28537325.0
June 2015,5388216.0,84152.0,-707381.0,88962334.0,31510665.0
September 2015,5467693.0,112070.0,-411028.0,85716616.0,30309035.0
December 2015,5943206.0,117924.0,875065.0,87231010.0,33584811.0
March 2016,6306676.0,132123.0,849479.0,89655181.0,36127992.0
June 2016,6782310.0,123666.0,2089245.0,93349415.0,40451826.0
September 2016,7325263.0,92932.0,-1765719.0,96141818.0,42991508.0
December 2016,7009983.0,91607.0,-985676.0,93001049.0,40669421.0
March 2017,7155581.0,101193.0,699968.0,98221288.0,47196113.0
June 2017,7918323.0,107613.0,-2926603.0,99677330.0,44272075.0
September 2017,5929812.0,185085.0,-369498.0,98479963.0,44461204.0
December 2017,6371522.0,189891.0,634421.0,104537337.0,51464501.0
March 2018,6439624.0,197643.0,2864445.0,103902518.0,58294081.0
June 2018,7411048.0,281377.0,1177520.0,99774281.0,57350896.0
September 2018,6638433.0,318155.0,962589.0,90334834.0,50688585.0
December 2018,6668793.0,424652.0,2855629.0,88145382.0,52261788.0
March 2019,6464411.0,513770.0,1267560.0,91743332.0,56284483.0
June 2019,7846102.0,714651.0,3497621.0,87497019.0,54591816.0
September 2019,6537838.0,672970.0,-1827947.0,88379382.0,52756930.0
December 2019,7096970.0,454605.0,585975.0,91001591.0,55245470.0
March 2020,6398300.0,453050.0,1000807.0,86406663.0,53129075.0
June 2020,5859924.0,-111671.0,1178246.0,88473089.0,51895711.0
September 2020,5345019.0,85989.0,717554.0,83063347.0,52665475.0
December 2020,5955806.0,110419.0,-242104.0,85458920.0,52903246.0
March 2021,5963229.0,234678.0,-623231.0,88315787.0,55561592.0
June 2021,6368125.0,243082.0,1926038.0,86606261.0,55578774.0
September 2021,6082633.0,275230.0,187969.0,80888664.0,52145259.0
December 2021,5988719.0,235390.0,1406785.0,81498791.0,54089697.0
March 2022,6373875.0,251001.0,-278470.0,82076259.0,55103247.0
June 2022,6370270.0,580533.0,-2167440.0,72608632.0,49428136.0
