,OperatingExpenses,NetIncomeLoss
December 2007,9375.8,-9375.8
March 2008,9375.8,-9375.8
June 2008,9375.8,-9375.8
September 2008,9375.8,-9375.8
December 2008,9375.8,-9375.8
March 2009,9375.8,-9375.8
June 2009,9375.8,-9375.8
September 2009,9375.8,-9375.8
December 2009,9375.8,-9375.8
March 2010,8620.0,-8620.0
June 2010,12668.0,-12668.0
September 2010,5120.0,-5120.0
December 2010,9375.8,-9375.8
March 2011,8943.0,-8943.0
June 2011,14620.0,-14620.0
September 2011,5757.0,-5757.0
