,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2010,84938.5,540742.0,
June 2010,84938.5,540742.0,
September 2010,84938.5,540742.0,
December 2010,84938.5,540742.0,341420828.0
March 2011,87647.25,624964.0,
June 2011,87647.25,859282.0,
September 2011,87647.25,826339.0,340688970.0
December 2011,87647.25,793394.0,366520700.0
March 2012,87190.0,858839.0,350052046.0
June 2012,87190.0,892415.0,345736291.0
September 2012,87190.0,839352.0,339948328.0
December 2012,87190.0,642300.0,360878780.0
