,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2007,51886000.0,12214750.0,39671250.0,36134250.0,,
June 2007,51886000.0,12214750.0,39671250.0,36134250.0,,
September 2007,51886000.0,12214750.0,39671250.0,36134250.0,,
December 2007,51886000.0,12214750.0,39671250.0,36134250.0,,
March 2008,64935000.0,16301000.0,48634000.0,44781000.0,,
June 2008,77861000.0,20357000.0,57504000.0,51182000.0,,
September 2008,84543000.0,21851000.0,62692000.0,57594000.0,,
December 2008,82603000.0,20863000.0,61740000.0,50758000.0,1474624000.0,703890000.0
March 2009,83700000.0,21300000.0,62400000.0,28100000.0,,
June 2009,90645000.0,23369000.0,67276000.0,62388000.0,1501282000.0,638058000.0
September 2009,94513000.0,24650000.0,69863000.0,64600000.0,1637811000.0,781225000.0
December 2009,104755000.0,25783000.0,78972000.0,77500000.0,1809716000.0,846628000.0
March 2010,110800000.0,28000000.0,82800000.0,85300000.0,2016600000.0,1019500000.0
June 2010,117100000.0,28500000.0,88600000.0,88700000.0,2243100000.0,1264100000.0
September 2010,118500000.0,26900000.0,91600000.0,86600000.0,2351800000.0,1301500000.0
December 2010,128400000.0,32600000.0,95800000.0,121200000.0,2390400000.0,1275800000.0
March 2011,130500000.0,31400000.0,99100000.0,104100000.0,2568300000.0,1483600000.0
June 2011,138500000.0,32000000.0,106500000.0,117400000.0,2649900000.0,1365300000.0
September 2011,146600000.0,35400000.0,111200000.0,122400000.0,2746000000.0,1311900000.0
December 2011,163400000.0,41400000.0,122000000.0,151200000.0,3063100000.0,1466300000.0
March 2012,162600000.0,38400000.0,124200000.0,143500000.0,3332900000.0,1436100000.0
June 2012,161100000.0,40200000.0,120900000.0,154900000.0,3626100000.0,1703300000.0
September 2012,178700000.0,49700000.0,129000000.0,183300000.0,3732200000.0,1653100000.0
December 2012,189800000.0,41700000.0,148100000.0,174900000.0,4059200000.0,1892800000.0
March 2013,183100000.0,41600000.0,141500000.0,188900000.0,4235800000.0,1894700000.0
June 2013,186700000.0,41200000.0,145500000.0,159100000.0,4201300000.0,1861000000.0
September 2013,182500000.0,43200000.0,139300000.0,156800000.0,3697400000.0,1733500000.0
December 2013,189400000.0,41700000.0,147700000.0,166200000.0,3950300000.0,1932400000.0
March 2014,258800000.0,43000000.0,215800000.0,44300000.0,4194200000.0,2077600000.0
June 2014,201400000.0,40200000.0,161200000.0,104000000.0,3404600000.0,1533400000.0
September 2014,201500000.0,47500000.0,154000000.0,123700000.0,3651500000.0,1591900000.0
December 2014,207300000.0,47300000.0,160000000.0,146800000.0,3959400000.0,1847000000.0
March 2015,206400000.0,44400000.0,162000000.0,97000000.0,4126200000.0,1959300000.0
June 2015,212700000.0,49400000.0,163300000.0,134500000.0,4354500000.0,2163200000.0
September 2015,205900000.0,51000000.0,154900000.0,167300000.0,4682300000.0,2398800000.0
December 2015,212900000.0,52600000.0,160300000.0,190000000.0,4907300000.0,2195500000.0
March 2016,226000000.0,53200000.0,172800000.0,136400000.0,5306300000.0,2406400000.0
June 2016,225500000.0,54700000.0,170800000.0,184500000.0,5780800000.0,2827400000.0
September 2016,230600000.0,62600000.0,168000000.0,211000000.0,6174700000.0,2911400000.0
December 2016,262800000.0,69100000.0,193700000.0,204000000.0,6486900000.0,3250400000.0
March 2017,274600000.0,73500000.0,201100000.0,179800000.0,4808000000.0,2167700000.0
June 2017,270400000.0,84600000.0,185800000.0,221500000.0,5250800000.0,2642200000.0
September 2017,287500000.0,83400000.0,204100000.0,298600000.0,5644600000.0,2928900000.0
December 2017,307000000.0,87100000.0,219900000.0,-38800000.0,5758000000.0,2810900000.0
March 2018,317100000.0,95500000.0,221600000.0,287600000.0,6426200000.0,3381700000.0
June 2018,354900000.0,95100000.0,259800000.0,255300000.0,6849600000.0,3986100000.0
September 2018,329000000.0,107600000.0,221400000.0,292500000.0,7318600000.0,4252600000.0
December 2018,403700000.0,119900000.0,283800000.0,292500000.0,7846700000.0,4333200000.0
March 2019,417400000.0,144000000.0,273400000.0,306500000.0,8234900000.0,4025000000.0
June 2019,400000000.0,120800000.0,279200000.0,318300000.0,8531600000.0,4071600000.0
September 2019,419900000.0,135900000.0,284000000.0,396800000.0,9131300000.0,4317000000.0
December 2019,498400000.0,156600000.0,341800000.0,357700000.0,9733200000.0,4662600000.0
March 2020,455200000.0,147100000.0,308100000.0,313500000.0,9891100000.0,4691500000.0
June 2020,422300000.0,143200000.0,279100000.0,68000000.0,10103600000.0,5899000000.0
September 2020,453900000.0,155000000.0,298900000.0,313900000.0,10617500000.0,6300300000.0
December 2020,480000000.0,149800000.0,330200000.0,365200000.0,11168900000.0,6625900000.0
March 2021,485800000.0,159800000.0,326000000.0,426300000.0,11540400000.0,6066400000.0
June 2021,512500000.0,162300000.0,350200000.0,517200000.0,12297000000.0,6016600000.0
September 2021,528800000.0,165500000.0,363300000.0,380500000.0,12934600000.0,5728000000.0
December 2021,610400000.0,183400000.0,427000000.0,380600000.0,13555000000.0,5844900000.0
March 2022,601600000.0,210500000.0,391100000.0,365600000.0,13678400000.0,5803200000.0
June 2022,625700000.0,207300000.0,418400000.0,307800000.0,13705200000.0,6292500000.0
