,OperatingExpenses,NetIncomeLoss,Assets
March 2009,8313000.0,842250.0,
June 2009,8313000.0,842250.0,
September 2009,8313000.0,842250.0,
December 2009,8313000.0,842250.0,
March 2010,9309000.0,984000.0,
June 2010,9432000.0,473000.0,
September 2010,9212000.0,1219000.0,
December 2010,9602000.0,1135000.0,48402000.0
March 2011,10335000.0,1657000.0,
June 2011,10316000.0,859000.0,65692000.0
September 2011,9696000.0,497000.0,71380000.0
December 2011,14844000.0,369000.0,66678000.0
March 2012,9876000.0,1007000.0,63775000.0
June 2012,9928000.0,614000.0,63795000.0
September 2012,9453000.0,1263000.0,74073000.0
December 2012,9844000.0,956000.0,64679000.0
March 2013,11417000.0,1169000.0,64100000.0
June 2013,10857000.0,1266000.0,65900000.0
September 2013,11095000.0,1956000.0,78894000.0
December 2013,11552000.0,2279000.0,80213000.0
March 2014,12370000.0,1448000.0,77077000.0
June 2014,12404000.0,2124000.0,83832000.0
September 2014,12973000.0,2059000.0,96853000.0
December 2014,13811000.0,2469000.0,111886000.0
March 2015,15673000.0,1622000.0,102585000.0
June 2015,16290000.0,1922000.0,108995000.0
September 2015,14541000.0,1922000.0,117750000.0
December 2015,14686000.0,2213000.0,114309000.0
March 2016,15542000.0,1622000.0,89440000.0
June 2016,15174000.0,1406000.0,94143000.0
September 2016,15038000.0,2165000.0,105228000.0
December 2016,15364000.0,10986000.0,179121000.0
March 2017,18947000.0,2336000.0,161966000.0
June 2017,17494000.0,2629000.0,177687000.0
September 2017,17825000.0,2989000.0,191879000.0
December 2017,17975000.0,-1046000.0,169047000.0
March 2018,19329000.0,3523000.0,136172000.0
June 2018,18603000.0,3472000.0,154817000.0
September 2018,19444000.0,4262000.0,170369000.0
December 2018,17448000.0,2537000.0,170976000.0
March 2019,21216000.0,3102000.0,147570000.0
June 2019,20273000.0,3364000.0,166943000.0
September 2019,19917000.0,3478000.0,177699000.0
December 2019,43676000.0,-1482000.0,199452000.0
March 2020,23562000.0,0.0,131457000.0
June 2020,19153000.0,2198000.0,148312000.0
September 2020,18991000.0,2664000.0,158356000.0
December 2020,21640000.0,4012000.0,188687000.0
March 2021,22831000.0,4187000.0,162158000.0
June 2021,22955000.0,4603000.0,202958000.0
September 2021,23225000.0,5068000.0,228155000.0
December 2021,24464000.0,4821000.0,264300000.0
March 2022,26131000.0,2815000.0,220115000.0
June 2022,24144000.0,2523000.0,267384000.0
