,OperatingExpenses,Assets,AssetsCurrent
June 2006,176958.82352941178,,
September 2006,176958.82352941178,,
December 2006,176958.82352941178,,
March 2007,176958.82352941178,,
June 2007,176958.82352941178,,
September 2007,176958.82352941178,,
December 2007,176958.82352941178,,
March 2008,176958.82352941178,,
June 2008,176958.82352941178,,
September 2008,176958.82352941178,,
December 2008,176958.82352941178,,
March 2009,176958.82352941178,,
June 2009,176958.82352941178,,
September 2009,176958.82352941178,,
December 2009,176958.82352941178,,
March 2010,176958.82352941178,,
June 2010,382559.0,,
September 2010,528425.0,,
December 2010,140874.0,,
March 2011,176958.82352941178,799832.0,790522.0
June 2011,950562.0,,
September 2011,437544.0,974344.0,690184.0
December 2011,288341.0,1038284.0,744812.0
