,NetIncomeLoss,Assets
March 2009,-992000.0,
June 2009,-992000.0,
September 2009,-992000.0,
December 2009,-992000.0,
March 2010,7916000.0,
June 2010,5056000.0,
September 2010,5204000.0,
December 2010,12608000.0,4256363000.0
March 2011,5779000.0,4264319000.0
June 2011,8632000.0,4429143000.0
September 2011,18872000.0,4755832000.0
December 2011,14754000.0,4785945000.0
March 2012,8902000.0,4815432000.0
June 2012,11899000.0,4789413000.0
September 2012,11880000.0,4903049000.0
December 2012,13462000.0,4906335000.0
March 2013,12176000.0,4905011000.0
June 2013,14591000.0,7070465000.0
September 2013,13276000.0,7150297000.0
December 2013,19973000.0,7161582000.0
March 2014,19844000.0,7237053000.0
June 2014,21227000.0,7297458000.0
September 2014,21583000.0,7466081000.0
December 2014,18920000.0,8578846000.0
March 2015,24361000.0,8552902000.0
June 2015,21946000.0,8518019000.0
September 2015,25780000.0,8755984000.0
December 2015,26740000.0,8951697000.0
March 2016,21259000.0,9035932000.0
June 2016,25405000.0,9353651000.0
September 2016,27484000.0,9586754000.0
December 2016,30718000.0,9509607000.0
March 2017,29199000.0,9527272000.0
June 2017,27132000.0,9685110000.0
September 2017,40769000.0,9814578000.0
December 2017,15728000.0,12716886000.0
March 2018,39970000.0,12530636000.0
June 2018,41749000.0,12628586000.0
September 2018,46415000.0,12956596000.0
December 2018,44748000.0,13095145000.0
March 2019,45871000.0,13064436000.0
June 2019,51724000.0,13090808000.0
September 2019,50727000.0,13757760000.0
December 2019,46129000.0,14079524000.0
March 2020,14628000.0,14038503000.0
June 2020,36582000.0,15920944000.0
September 2020,44734000.0,16233424000.0
December 2020,58300000.0,16584779000.0
March 2021,51853000.0,17335116000.0
June 2021,55039000.0,18013477000.0
September 2021,53017000.0,18602462000.0
December 2021,42911000.0,20945333000.0
March 2022,57522000.0,20963958000.0
June 2022,58808000.0,20564390000.0
