,OperatingExpenses,NetIncomeLoss
June 2021,513.0,-510263.0
September 2021,93522.0,-18696153.0
December 2021,139070.0,32870682.0
March 2022,204017.0,80970907.0
June 2022,203458.0,-79513195.0
