,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
December 1999,145342.53658536586,-209932.68292682926,,
March 2000,145342.53658536586,-209932.68292682926,,
June 2000,145342.53658536586,-209932.68292682926,,
September 2000,145342.53658536586,-209932.68292682926,,
December 2000,145342.53658536586,-209932.68292682926,,
March 2001,145342.53658536586,-209932.68292682926,,
June 2001,145342.53658536586,-209932.68292682926,,
September 2001,145342.53658536586,-209932.68292682926,,
December 2001,145342.53658536586,-209932.68292682926,,
March 2002,145342.53658536586,-209932.68292682926,,
June 2002,145342.53658536586,-209932.68292682926,,
September 2002,145342.53658536586,-209932.68292682926,,
December 2002,145342.53658536586,-209932.68292682926,,
March 2003,145342.53658536586,-209932.68292682926,,
June 2003,145342.53658536586,-209932.68292682926,,
September 2003,145342.53658536586,-209932.68292682926,,
December 2003,145342.53658536586,-209932.68292682926,,
March 2004,145342.53658536586,-209932.68292682926,,
June 2004,145342.53658536586,-209932.68292682926,,
September 2004,145342.53658536586,-209932.68292682926,,
December 2004,145342.53658536586,-209932.68292682926,,
March 2005,145342.53658536586,-209932.68292682926,,
June 2005,145342.53658536586,-209932.68292682926,,
September 2005,145342.53658536586,-209932.68292682926,,
December 2005,145342.53658536586,-209932.68292682926,,
March 2006,145342.53658536586,-209932.68292682926,,
June 2006,145342.53658536586,-209932.68292682926,,
September 2006,145342.53658536586,-209932.68292682926,,
December 2006,145342.53658536586,-209932.68292682926,,
March 2007,145342.53658536586,-209932.68292682926,,
June 2007,145342.53658536586,-209932.68292682926,,
September 2007,145342.53658536586,-209932.68292682926,,
December 2007,145342.53658536586,-209932.68292682926,,
March 2008,145342.53658536586,-209932.68292682926,,
June 2008,145342.53658536586,-209932.68292682926,,
September 2008,145342.53658536586,-209932.68292682926,,
December 2008,145342.53658536586,-209932.68292682926,,
March 2009,145342.53658536586,-209932.68292682926,,
June 2009,145342.53658536586,-209932.68292682926,,
September 2009,145342.53658536586,-209932.68292682926,,
December 2009,145342.53658536586,-209932.68292682926,,
March 2010,113603.0,-331057.0,,
June 2010,188602.0,216795.0,,
September 2010,88602.0,-205442.0,,
December 2010,88602.0,4582.0,1282491.0,18757.0
March 2011,99929.0,-291705.0,,
June 2011,88393.0,-184782.0,1263960.0,6848.0
September 2011,107429.0,-215183.0,1255568.0,1767.0
December 2011,79160.0,-207631.0,1237061.0,5000.0
March 2012,106349.0,-223460.0,1266878.0,38083.0
