,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2019,9746500.0,3403500.0,,,
June 2019,9746500.0,3403500.0,,,
September 2019,9746500.0,3403500.0,,,
December 2019,9746500.0,3403500.0,,,
March 2020,9483000.0,5492000.0,,,
June 2020,11647000.0,12959000.0,,,
September 2020,14812000.0,5120000.0,270955.0,,
December 2020,15754000.0,-10764000.0,217017121.0,1738514.0,56676000.0
March 2021,14746000.0,5918000.0,216191072.0,898397.0,
June 2021,17296000.0,-7035000.0,334175000.0,269649000.0,64526000.0
September 2021,14509000.0,11236000.0,330537000.0,261764000.0,68773000.0
December 2021,14792000.0,618000.0,334844000.0,241784000.0,93060000.0
March 2022,16981000.0,-25212000.0,328566000.0,247418000.0,81148000.0
June 2022,14470000.0,5503000.0,332659000.0,244004000.0,88655000.0
