,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2020,73000.0,-129500.0,,,
June 2020,73000.0,-129500.0,,,
September 2020,46000.0,-89000.0,,,
December 2020,217000.0,-404000.0,2090000.0,2084000.0,6000.0
March 2021,104000.0,-444000.0,,,
June 2021,391000.0,-1522000.0,,,
September 2021,374000.0,-730000.0,3696000.0,3671000.0,
December 2021,550000.0,-1020000.0,2943000.0,2882000.0,61000.0
March 2022,477000.0,-849000.0,2411000.0,2186000.0,225000.0
June 2022,412000.0,-939000.0,4493000.0,4227000.0,266000.0
