,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,975000.0,10871000.0,,,
June 2009,975000.0,10871000.0,,,
September 2009,975000.0,10871000.0,,,
December 2009,975000.0,10871000.0,1697883000.0,,
March 2010,775000.0,20438000.0,,,
June 2010,775000.0,6765000.0,1685703000.0,268274000.0,344172000.0
September 2010,775000.0,1779000.0,1749980000.0,339167000.0,304732000.0
December 2010,775000.0,9522000.0,1724407000.0,294230000.0,312027000.0
March 2011,525000.0,16947000.0,1741177000.0,291975000.0,301272000.0
June 2011,525000.0,5955000.0,1704312000.0,291416000.0,297978000.0
September 2011,525000.0,8328000.0,1702020000.0,271907000.0,304607000.0
December 2011,525000.0,14110000.0,1720234000.0,234140000.0,354378000.0
March 2012,1000000.0,14581000.0,1785801000.0,289841000.0,349895000.0
June 2012,1000000.0,1636000.0,1723416000.0,211154000.0,336868000.0
September 2012,1000000.0,9057000.0,1713187000.0,190840000.0,331067000.0
December 2012,1000000.0,13607000.0,1784949000.0,239559000.0,340415000.0
March 2013,,18090000.0,1802391000.0,251474000.0,334225000.0
