,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2010,57477.5,,-67186.0,,,
March 2011,57477.5,,-57026.0,,,
June 2011,57477.5,,-66988.0,,,
September 2011,57477.5,,-66988.0,57986.0,16079.0,41907.0
December 2011,55772.5,,-65434.0,,,
March 2012,55772.5,,-68736.0,57971.0,18242.0,39729.0
June 2012,55772.5,,-56496.0,,,
September 2012,55772.5,,-74584.0,46322.0,11411.0,
December 2012,57541.0,36035.5,-70074.0,38477.0,32946.0,
March 2013,23546.0,36035.5,-36648.0,26725.0,22165.0,
June 2013,21917.0,36035.5,-35455.0,20830.0,17120.0,
September 2013,54377.0,36035.5,-68653.0,25535.0,22717.0,
December 2013,29600.0,28682.0,-44364.0,18270.0,16354.0,
March 2014,22257.0,21765.0,-37470.0,24332.0,22921.0,
June 2014,23325.0,22853.0,-38854.0,16439.0,15497.0,
September 2014,1002.0,1002.0,-16647.0,0.0,,
December 2014,,,-15645.0,,,
March 2015,,,-15645.0,,,
June 2015,,,-13710.0,,,
September 2015,,,-13098.0,0.0,0.0,
December 2015,0.0,0.0,-12174.0,,,
March 2016,0.0,0.0,-12174.0,,,
June 2016,35955.0,4281.0,-48129.0,0.0,0.0,
September 2016,0.0,0.0,-12174.0,0.0,,
December 2016,450.0,,-12624.0,0.0,,
March 2017,635.0,,-12809.0,0.0,,
June 2017,1715.0,1715.0,-13889.0,5000.0,5000.0,
September 2017,242377.0,,-301966.0,5000.0,5000.0,
December 2017,18093.0,2500.0,-30267.0,1488373.0,1470499.0,
March 2018,23115.0,0.0,-35289.0,,,
June 2018,2226.0,1500.0,-2226.0,,,
September 2018,946053.0,640293.0,-606528.0,1832725.0,1781174.0,
December 2018,2595828.0,1153081.0,-1295830.0,1915531.0,1901185.0,
March 2019,1135502.0,590584.0,-669243.0,1360495.0,1309448.0,
June 2019,1850942.0,691865.0,-2106123.0,1555233.0,1514244.0,
September 2019,933547.0,468208.0,-5944452.0,1346591.0,1314689.0,
December 2019,604122.0,305982.0,5174938.0,1023092.0,1000513.0,
March 2020,407988.0,154859.0,-5262535.0,892277.0,879264.0,
June 2020,438547.0,211979.0,2032362.0,1081192.0,1076836.0,
September 2020,500623.0,194316.0,-2165693.0,1188879.0,1185027.0,
December 2020,534637.0,227373.0,2337317.0,1123625.0,1120277.0,
March 2021,510243.0,181160.0,-8682.0,1460843.0,1457999.0,
June 2021,874098.0,537730.0,305147.0,1209709.0,1207369.0,
September 2021,581648.0,257639.0,-112322.0,1490328.0,1488492.0,
December 2021,559525.0,275921.0,-189617.0,1142764.0,1141292.0,
March 2022,417257.0,149613.0,29384.0,2025866.0,1923881.0,
June 2022,499703.0,225867.0,-34903.0,2023126.0,1929041.0,
