,NetIncomeLoss
September 2010,-11525.0
December 2010,-11525.0
March 2011,-11525.0
June 2011,-11525.0
September 2011,-11525.0
December 2011,-11525.0
March 2012,-11525.0
June 2012,-11525.0
September 2012,-11525.0
December 2012,-11525.0
March 2013,-11525.0
