,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,796833.0,,-140054.0,,,
June 2010,756522.0,,-55174.0,,,
September 2010,783553.0,,-142116.0,,,
December 2010,891687.0,,-126824.0,1983831.0,1138786.0,841969.0
March 2011,929279.0,,-144017.0,,,
June 2011,937443.0,,-238481.0,1271850.0,516422.0,752007.0
September 2011,1228596.0,,262541.0,3257317.0,2404768.0,848816.0
December 2011,1344940.0,,471805.0,4909973.0,4086922.0,818817.0
March 2012,1236889.0,,69072.0,3195842.0,2381561.0,808817.0
June 2012,1712673.0,,104306.0,,,
September 2012,1712673.0,,626742.0,4473834.0,3618140.0,832116.0
December 2012,1292751.0,,475098.0,5155620.0,4277793.0,786497.0
March 2013,1282161.0,,-232432.0,2870614.0,2630414.0,140032.0
June 2013,1252730.0,,-266484.0,2829755.0,2498011.0,197559.0
September 2013,1231860.0,,-339825.0,9553472.0,9284909.0,137597.0
December 2013,2169043.0,,49702.0,27528429.0,27257774.0,148594.0
March 2014,2560359.0,,161738.0,55720178.0,55387404.0,190386.0
June 2014,2837794.0,,486801.0,62109508.0,61779219.0,198606.0
September 2014,2919230.0,,688560.0,62168658.0,61848381.0,193683.0
December 2014,2832741.0,,2501189.0,61099309.0,56929317.0,1464475.0
March 2015,3047739.0,,708617.0,71591089.0,67247994.0,1459294.0
June 2015,3332923.0,,24850.0,71222153.0,66702259.0,1417070.0
September 2015,3527131.0,,117780.0,58574957.0,53979164.0,1406150.0
December 2015,3525789.0,,164841.0,68356491.0,63113405.0,2165665.0
March 2016,3275044.0,,-32002.0,52556322.0,47230105.0,2324282.0
June 2016,3345280.0,,-355301.0,54185448.0,49054204.0,2283545.0
September 2016,3642232.0,,-565957.0,69610363.0,64700099.0,2234428.0
December 2016,3174375.0,,-243382.0,69514686.0,65025469.0,1994707.0
March 2017,3132682.0,1264737.0,-286583.0,58805588.0,54306102.0,1982685.0
June 2017,3099178.0,1244772.0,-534337.0,60896042.0,56541650.0,1935704.0
September 2017,4481252.0,1717016.0,-890025.0,58860982.0,49862201.0,6724580.0
December 2017,6695062.0,,-1297840.0,67435803.0,59102625.0,6227992.0
March 2018,6904450.0,2331692.0,-1050806.0,65645472.0,57716330.0,6003116.0
June 2018,813190.6666666666,2351029.0,-1035438.0,66888873.0,58895098.0,5872713.0
September 2018,813190.6666666666,2282056.0,-813166.0,60160433.0,52486027.0,5624185.0
December 2018,813190.6666666666,,-876405.0,68215512.0,60905668.0,5377184.0
March 2019,2753051.5,2431695.0,-1072889.0,62028324.0,52421903.0,7757386.0
June 2019,2753051.5,2823652.0,-1275611.0,61150342.0,51870806.0,7497213.0
September 2019,2753051.5,2776885.0,-1239034.0,62484396.0,53538973.0,7201652.0
December 2019,2753051.5,,-1528213.0,61560179.0,53047274.0,
March 2020,2783190.25,2797611.0,-835009.0,50299748.0,42058017.0,
June 2020,2783190.25,2587561.0,-1288169.0,65809248.0,57819155.0,
September 2020,2783190.25,2633630.0,-936017.0,60811751.0,53030557.0,
December 2020,2783190.25,,153012.0,82667557.0,69092526.0,
March 2021,3946997.75,3609956.0,-720252.0,86902551.0,73610444.0,
June 2021,3946997.75,3789647.0,218483.0,76880205.0,63607140.0,
September 2021,3946997.75,3822684.0,141234.0,83857187.0,70940069.0,
December 2021,3946997.75,,38901.0,133679715.0,121257194.0,
