,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,443344.0,46222.0,-568945.75,,,
June 2010,405759.0,45225.0,-568945.75,,,
September 2010,652623.0,45969.0,-568945.75,,,
December 2010,526591.0,45554.0,-568945.75,131944.0,106022.0,
March 2011,414686.0,37976.0,-422829.75,,,
June 2011,375018.0,40317.0,-422829.75,67691.0,44841.0,
September 2011,285432.0,39697.0,-422829.75,52566.0,30478.0,
December 2011,347653.0,48726.0,-422829.75,62999.0,42677.0,
March 2012,286195.0,39763.0,-335608.0,50670.0,31506.0,
June 2012,283161.0,39491.0,-335608.0,,,
September 2012,301726.0,39765.0,-335608.0,56902.0,39997.0,
December 2012,331179.0,40040.0,-335608.0,42046.0,26081.0,
March 2013,132633.0,40175.0,928466.5,118453.0,103526.0,
June 2013,129583.0,40620.0,928466.5,33229.0,19233.0,
September 2013,192905.0,40907.0,928466.5,29385.0,16458.0,
December 2013,101731.0,41050.0,928466.5,28485.0,16530.0,
March 2014,127349.0,40967.0,-149448.0,30677.0,20129.0,
June 2014,125938.0,40122.0,-148296.0,34879.0,25399.0,
September 2014,123351.0,40661.0,-145914.0,27085.0,18608.0,
December 2014,150920.0,40965.0,-263898.0,24615.0,17243.0,
March 2015,119658.0,40687.0,-142780.0,21303.0,15007.0,
June 2015,109511.0,40940.0,-155546.0,20422.0,15223.0,
September 2015,112828.0,39860.0,-159225.0,20797.0,16871.0,
December 2015,150580.0,57501.0,-219807.0,50981.0,48174.0,2807.0
March 2016,163876.0,76993.0,56130.0,321076.0,285191.0,
June 2016,213562.0,74776.0,181975.0,1382475.0,1271171.0,
September 2016,218636.0,37303.0,93601.0,4741488.0,4600429.0,
December 2016,551751.0,-39896.0,631590.0,4723511.0,4595102.0,1612272.0
March 2017,466884.0,36291.0,-491506.0,,,
June 2017,715940.0,36433.0,3695264.0,12589248.0,12329492.0,259756.0
September 2017,1253697.0,147782.0,-727808.0,31959854.0,30839476.0,1120378.0
December 2017,1191543.0,-72514.0,2833086.0,20004586.0,19073381.0,931205.0
March 2018,1788589.0,39313.0,53604.0,25203512.0,24243727.0,959785.0
June 2018,1714784.0,39230.0,-635368.0,29478343.0,28585061.0,893282.0
September 2018,1062351.0,36748.0,623361.0,30692986.0,29909288.0,783698.0
December 2018,1103380.0,7483.0,302224.0,32511042.0,31690093.0,820949.0
March 2019,997400.0,,390623.0,35868980.0,35034249.0,834731.0
June 2019,3915437.0,,-2245690.0,32243821.0,31397768.0,846053.0
September 2019,724576.0,,311217.0,33145148.0,32319773.0,825375.0
December 2019,4880362.0,,-5091446.0,24069329.0,22835356.0,1233973.0
