,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2017,34161500.0,-172075250.0,,,
June 2017,34161500.0,-172075250.0,,,
September 2017,34161500.0,-172075250.0,,,
December 2017,34161500.0,-172075250.0,,,
March 2018,63192000.0,-234339000.0,,,
June 2018,64415000.0,-178903000.0,,,
September 2018,77168000.0,-249161000.0,,,
December 2018,96061000.0,-248932000.0,3760043000.0,2320442000.0,
March 2019,630960000.0,-1138473000.0,3240907000.0,1380412000.0,1860495000.0
June 2019,309833000.0,-644239000.0,5704476000.0,3677797000.0,
September 2019,288272000.0,-463477000.0,5735161000.0,3542823000.0,
December 2019,276575000.0,-356052000.0,5691383000.0,3247363000.0,
March 2020,258739000.0,-398073000.0,5571758000.0,3144754000.0,
June 2020,203101000.0,-437112000.0,5214445000.0,3096206000.0,
September 2020,232106000.0,-459517000.0,4968331000.0,2753054000.0,
December 2020,215180000.0,-458155000.0,4678964000.0,2594138000.0,
March 2021,238218000.0,-427339000.0,4545844000.0,2580986000.0,
June 2021,252039000.0,-251918000.0,4571355000.0,2602569000.0,
September 2021,226693000.0,-71539000.0,4824268000.0,2893252000.0,
December 2021,194996000.0,-258563000.0,4773884000.0,2776070000.0,
March 2022,192754000.0,-196932000.0,4768464000.0,2935550000.0,
June 2022,201768000.0,-377246000.0,4757534000.0,2459483000.0,
