,OperatingExpenses,Assets
March 2008,114379250.0,
June 2008,114379250.0,
September 2008,114379250.0,
December 2008,114379250.0,
March 2009,122527000.0,
June 2009,117322000.0,
September 2009,118108000.0,
December 2009,114150000.0,3268034000.0
March 2010,121883000.0,
June 2010,119256000.0,3326587000.0
September 2010,122575000.0,3630002000.0
December 2010,126127000.0,3634703000.0
March 2011,132035000.0,3627047000.0
June 2011,130181000.0,3658696000.0
September 2011,133863000.0,4004107000.0
December 2011,121691000.0,4153206000.0
March 2012,136325000.0,4172030000.0
June 2012,140131000.0,4477047000.0
September 2012,139353000.0,4517748000.0
December 2012,117362000.0,4451492000.0
March 2013,140564000.0,4406554000.0
June 2013,139488000.0,4396236000.0
September 2013,133520000.0,4420885000.0
December 2013,122796000.0,4467877000.0
March 2014,143467000.0,4376225000.0
June 2014,141908000.0,4414226000.0
September 2014,140417000.0,4471126000.0
December 2014,137277000.0,4488535000.0
March 2015,149757000.0,4493973000.0
June 2015,,4476807000.0
