,Assets,AssetsCurrent
December 2016,2433400000.0,1060700000.0
March 2017,,
June 2017,7032800000.0,2061300000.0
September 2017,7087200000.0,2073700000.0
December 2017,7272700000.0,2242600000.0
March 2018,7104000000.0,2052200000.0
June 2018,6923400000.0,1966400000.0
September 2018,6923500000.0,1996400000.0
December 2018,6911900000.0,2019100000.0
March 2019,7023100000.0,1960700000.0
June 2019,6860100000.0,1859800000.0
September 2019,6965900000.0,2026300000.0
December 2019,7621700000.0,2580800000.0
March 2020,6643900000.0,2244500000.0
June 2020,6725200000.0,2338600000.0
September 2020,6427100000.0,1981700000.0
December 2020,6690800000.0,2193700000.0
March 2021,6494700000.0,1998900000.0
June 2021,6630500000.0,2187000000.0
September 2021,6703200000.0,2299300000.0
December 2021,6727500000.0,2409200000.0
March 2022,6423300000.0,2205900000.0
June 2022,6899600000.0,2788600000.0
