,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,243817.0,0.0,148188.0,,,
June 2010,334388.0,68.0,86643.0,4715749.0,3658545.0,640379.0
September 2010,505680.0,83.0,-447711.0,5164925.0,4094846.0,653224.0
December 2010,,,,4715749.0,3658545.0,640379.0
March 2011,102205.0,23132.333333333332,-383489.0,,,
June 2011,42329.0,68.0,234831.0,1912415.0,1202658.0,564598.0
September 2011,188804.0,23132.333333333332,-193477.0,2193703.0,1497570.0,550974.0
December 2011,,23132.333333333332,-1055056.0,1912415.0,115994.0,564598.0
March 2012,,98626.0,-1098263.0,,,
June 2012,,50178.0,-1106106.0,,,
September 2012,,21972.0,-3094483.0,,,
December 2012,,7643.0,-1510973.0,60223.0,17617.0,
March 2013,1036229.0,,-3808786.0,130811.0,90718.0,
June 2013,1036229.0,,-74521.0,70888.0,33669.0,
September 2013,1036229.0,,-12611526.0,98621.0,59770.0,
December 2013,1036229.0,,-15612307.0,237436.0,201390.0,
March 2014,284370.5,,1121418.0,303061.0,269650.0,
June 2014,284370.5,,-11496960.0,78279.0,47404.0,
September 2014,284370.5,,-1624961.0,74121.0,45652.0,
December 2014,284370.5,,-5907554.0,281549.0,259783.0,
March 2015,132491.0,,-8272069.0,274987.0,254975.0,
June 2015,113506.0,,-36036744.0,258735.0,246464.0,
September 2015,171296.0,,57172360.0,275023.0,264525.0,
December 2015,96474.0,,2202925.0,265964.0,256592.0,
March 2016,204271.0,,12518382.0,130816.0,110168.0,
June 2016,84148.0,,3421101.0,104342.0,97222.0,
September 2016,92619.0,,-803994.0,501.0,501.0,
December 2016,-118978.0,,-1633562.0,260.0,260.0,
March 2017,27562.0,,-247053.0,170.0,170.0,
June 2017,27728.0,,-917911.0,81.0,81.0,
September 2017,6336.0,,496483.0,0.0,,
December 2017,18770.0,,-32002.0,78066.0,78066.0,
March 2018,62423.0,,56264.0,,,
June 2018,105422.0,,-432236.0,6645672.0,126565.0,
September 2018,731273.0,,-2435436.0,6555262.0,85976.0,
December 2018,-8508.0,,67388.0,426784.0,426784.0,
March 2019,132167.0,,-131631.0,446445.0,446445.0,
June 2019,74957.0,,-832419.0,478.0,478.0,
September 2019,42877.0,,89308.0,,,
December 2019,141184.0,,-712789.0,,,
March 2020,30000.0,,-130188.0,,,
June 2020,120100.0,,-332448.0,,,
September 2020,134525.0,,-343357.0,,,
December 2020,381024.0,,-1378035.0,,,
March 2021,108075.0,,-1195836.0,,,
June 2021,149135.0,,722486.0,,,
September 2021,124312.0,,-539899.0,5778.0,,
December 2021,121247.0,,-539899.0,5711.0,,
March 2022,121137.0,,-215444.0,2754.0,,
June 2022,316990.0,,-286994.0,284820.0,,
