,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
September 2009,211551250.0,,
December 2009,211551250.0,,
March 2010,211551250.0,,
June 2010,211551250.0,,
September 2010,195203000.0,,
December 2010,258084000.0,,
March 2011,202347000.0,,
June 2011,203954000.0,,
September 2011,199775000.0,,
December 2011,281876000.0,,
March 2012,213088000.0,,
June 2012,207548000.0,,
September 2012,206239000.0,,
December 2012,278847000.0,,
March 2013,214851000.0,,
June 2013,216337000.0,,
September 2013,208159000.0,,
December 2013,280148000.0,,
March 2014,220066000.0,,
