,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,105589.25,,,
June 2010,105589.25,,,
September 2010,105589.25,,,
December 2010,105589.25,67354942.0,51824023.0,
March 2011,3169484.0,,,
June 2011,6297315.0,82556303.0,32076597.0,
September 2011,7552446.0,75132819.0,14120843.0,
December 2011,5590225.0,65869089.0,9763516.0,
March 2012,3670606.0,62117900.0,7633309.0,
June 2012,389513.0,56221223.0,4926438.0,
September 2012,-2473660.0,49111329.0,3516325.0,
December 2012,-3323382.0,42059902.0,2195410.0,
March 2013,570717.0,40103268.0,1956065.0,
June 2013,86153.0,37652657.0,2080294.0,
September 2013,1389156.0,36862945.0,1852670.0,
December 2013,-2203848.0,32844044.0,1547783.0,
March 2014,1373529.0,32401464.0,1656579.0,
June 2014,1324516.0,31790664.0,1648185.0,
September 2014,786152.0,30908497.0,1246389.0,
December 2014,-2770141.0,26917826.0,872289.0,
March 2015,-4187984.0,22033946.0,563594.0,
June 2015,-4914323.0,16728511.0,554738.0,
September 2015,-4181226.0,12160682.0,570878.0,
December 2015,-3651245.0,8096677.0,404051.0,
March 2016,-1381916.0,6605250.0,326276.0,
June 2016,-204975.0,6261199.0,467139.0,
September 2016,132392.0,6139849.0,448587.0,
December 2016,277083.0,6028385.0,443912.0,
March 2017,298111.0,6004093.0,501231.0,
June 2017,257397.0,5860166.0,452591.0,
September 2017,246066.0,5789684.0,446027.0,
December 2017,366157.0,5796054.0,526751.0,
March 2018,284715.0,5682799.0,489538.0,
June 2018,378417.0,5628954.0,520038.0,
September 2018,388160.0,5593432.0,516619.0,
December 2018,268128.0,5416561.0,426635.0,
March 2019,331695.0,5498111.0,596895.0,
June 2019,219098.0,5344617.0,460311.0,
September 2019,252141.0,3750997.0,433450.0,
December 2019,235986.0,3674973.0,417472.0,
March 2020,89359.0,3506658.0,297921.0,
June 2020,-148276.0,3261409.0,95903.0,
September 2020,183966.0,3388213.0,298961.0,
December 2020,82884.0,3357868.0,325547.0,3032321.0
March 2021,362056.0,3492625.0,500891.0,
June 2021,490267.0,3474818.0,533168.0,
September 2021,1769939.0,4815493.0,1953987.0,2861506.0
December 2021,690475.0,4000589.0,1178620.0,2821969.0
March 2022,1025557.0,4055846.0,1264411.0,2791435.0
June 2022,1148417.0,3860548.0,1115408.0,2745140.0
