,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 1991,19645527.777777776,,-227750.0,,
June 1991,19645527.777777776,,-227750.0,,
September 1991,19645527.777777776,,-227750.0,,
December 1991,19645527.777777776,,-227750.0,,
March 1992,19645527.777777776,,-293750.0,,
June 1992,19645527.777777776,,-293750.0,,
September 1992,19645527.777777776,,-293750.0,,
December 1992,19645527.777777776,,-293750.0,,
March 1993,19645527.777777776,,-289000.0,,
June 1993,19645527.777777776,,-289000.0,,
September 1993,19645527.777777776,,-289000.0,,
December 1993,19645527.777777776,,-289000.0,,
March 1994,19645527.777777776,,-501000.0,,
June 1994,19645527.777777776,,-501000.0,,
September 1994,19645527.777777776,,-501000.0,,
December 1994,19645527.777777776,,-501000.0,,
March 1995,19645527.777777776,,-703750.0,,
June 1995,19645527.777777776,,-703750.0,,
September 1995,19645527.777777776,,-703750.0,,
December 1995,19645527.777777776,,-703750.0,,
March 1996,19645527.777777776,,-642500.0,,
June 1996,19645527.777777776,,-642500.0,,
September 1996,19645527.777777776,,-642500.0,,
December 1996,19645527.777777776,,-642500.0,,
March 1997,19645527.777777776,,-570000.0,,
June 1997,19645527.777777776,,-570000.0,,
September 1997,19645527.777777776,,-570000.0,,
December 1997,19645527.777777776,,-570000.0,,
March 1998,19645527.777777776,,-832750.0,,
June 1998,19645527.777777776,,-832750.0,,
September 1998,19645527.777777776,,-832750.0,,
December 1998,19645527.777777776,,-832750.0,,
March 1999,19645527.777777776,,-1419750.0,,
June 1999,19645527.777777776,,-1419750.0,,
September 1999,19645527.777777776,,-1419750.0,,
December 1999,19645527.777777776,,-1419750.0,,
March 2000,19645527.777777776,,-6165250.0,,
June 2000,19645527.777777776,,-6165250.0,,
September 2000,19645527.777777776,,-6165250.0,,
December 2000,19645527.777777776,,-6165250.0,,
March 2001,19645527.777777776,,-12061250.0,,
June 2001,19645527.777777776,,-12061250.0,,
September 2001,19645527.777777776,,-12061250.0,,
December 2001,19645527.777777776,,-12061250.0,,
March 2002,19645527.777777776,,-51566250.0,,
June 2002,19645527.777777776,,-51566250.0,,
September 2002,19645527.777777776,,-51566250.0,,
December 2002,19645527.777777776,,-51566250.0,,
March 2003,19645527.777777776,,-16469750.0,,
June 2003,19645527.777777776,,-16469750.0,,
September 2003,19645527.777777776,,-16469750.0,,
December 2003,19645527.777777776,,-16469750.0,,
March 2004,19645527.777777776,,-18998000.0,,
June 2004,19645527.777777776,,-18998000.0,,
September 2004,19645527.777777776,,-18998000.0,,
December 2004,19645527.777777776,,-18998000.0,,
March 2005,19645527.777777776,,-28584500.0,,
June 2005,19645527.777777776,,-28584500.0,,
