,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2010,,4559964.0,,
June 2010,,5524297.0,,
September 2010,,5479110.0,,
December 2010,,6116868.0,78820867.0,36416171.0
March 2011,,5509259.0,,
June 2011,,6544826.0,91601467.0,44734516.0
September 2011,,6615271.0,102711989.0,55045248.0
December 2011,,6254644.0,97974923.0,50381949.0
March 2012,,6501000.0,95887474.0,47717537.0
June 2012,,6378918.0,92966750.0,43036506.0
September 2012,,6535000.0,98243164.0,48864941.0
December 2012,,6133082.0,95894000.0,47390000.0
March 2013,,6957000.0,97371000.0,46605000.0
June 2013,,6889000.0,113684000.0,51747000.0
September 2013,,6395000.0,128464000.0,66472000.0
December 2013,,7795000.0,170091000.0,69592000.0
March 2014,8398000.0,8398000.0,171356000.0,67480000.0
June 2014,9024000.0,9024000.0,181163000.0,75486000.0
September 2014,7570000.0,7570000.0,204759000.0,99454000.0
December 2014,,9196000.0,195310000.0,90579000.0
March 2015,18429000.0,9152000.0,193223000.0,97667000.0
June 2015,10217000.0,10217000.0,211329000.0,112809000.0
September 2015,9233000.0,9233000.0,222403000.0,123451000.0
December 2015,,8957000.0,218446000.0,114104000.0
March 2016,7155000.0,7155000.0,204298000.0,100406000.0
June 2016,7609000.0,8493000.0,208275000.0,102575000.0
September 2016,9190000.0,9190000.0,212884000.0,103913000.0
December 2016,,10156000.0,181480000.0,92514000.0
March 2017,7255000.0,7255000.0,143908000.0,69650000.0
June 2017,8668000.0,8668000.0,139997000.0,66868000.0
September 2017,,7100000.0,69344000.0,29313000.0
