,NetIncomeLoss,Assets
March 2010,717000.0,
June 2010,967000.0,
September 2010,1009000.0,
December 2010,659000.0,691757000.0
March 2011,618000.0,
June 2011,699000.0,691561000.0
September 2011,1080000.0,695168000.0
December 2011,1532000.0,681929000.0
March 2012,1155000.0,693421000.0
June 2012,1249000.0,685387000.0
September 2012,1473000.0,697056000.0
December 2012,1506000.0,711836000.0
March 2013,1223000.0,716002000.0
June 2013,1800000.0,714781000.0
September 2013,1966000.0,833334000.0
December 2013,1586000.0,835689000.0
March 2014,1381000.0,846016000.0
June 2014,585000.0,839566000.0
