,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,18018250.0,15816500.0,,,
June 2009,18018250.0,15816500.0,,,
September 2009,18018250.0,15816500.0,,,
December 2009,18018250.0,15816500.0,,,
March 2010,8367000.0,6560000.0,,,
June 2010,8058000.0,6456000.0,,,
September 2010,6728000.0,5460000.0,,,
December 2010,6798000.0,5025000.0,,77784000.0,73952000.0
March 2011,6407000.0,4711000.0,1752000.0,,
June 2011,8489000.0,5209000.0,1752000.0,64709000.0,61361000.0
September 2011,6447000.0,5018000.0,1752000.0,60057000.0,57000000.0
December 2011,-9834000.0,4218000.0,1752000.0,54273000.0,51418000.0
March 2012,5486000.0,3963000.0,1523000.0,50138000.0,47440000.0
June 2012,5490000.0,4072000.0,1418000.0,46530000.0,43985000.0
September 2012,1838000.0,2983000.0,653000.0,43968000.0,41430000.0
December 2012,-1683000.0,3090000.0,82000.0,41464000.0,39036000.0
March 2013,5870000.0,957000.0,2889000.0,39352000.0,36998000.0
June 2013,5289000.0,1132000.0,4157000.0,38020000.0,35663000.0
September 2013,4909000.0,885000.0,4024000.0,39848000.0,37596000.0
December 2013,4417000.0,1950000.0,4221000.0,92097000.0,84109000.0
March 2014,8457000.0,670000.0,7235000.0,91332000.0,83543000.0
June 2014,10432000.0,1055000.0,9377000.0,89209000.0,87091000.0
September 2014,12200000.0,1207000.0,10993000.0,91712000.0,89604000.0
December 2014,13889000.0,3930000.0,9827000.0,97282000.0,95100000.0
March 2015,15620000.0,1640000.0,12736000.0,101612000.0,99352000.0
June 2015,16813000.0,1097000.0,14029000.0,103007000.0,100835000.0
September 2015,19631000.0,2306000.0,17325000.0,78222000.0,76057000.0
December 2015,33651000.0,1530000.0,,73666000.0,66650000.0
March 2016,17523000.0,1495000.0,,72592000.0,65539000.0
June 2016,22520000.0,1524000.0,,71165000.0,64159000.0
September 2016,20463000.0,1853000.0,,72194000.0,64764000.0
December 2016,22231000.0,1452000.0,,71817000.0,64497000.0
March 2017,20811000.0,1219000.0,,67575000.0,65157000.0
June 2017,21049000.0,924000.0,,68112000.0,65733000.0
September 2017,22368000.0,909000.0,,77116000.0,74546000.0
December 2017,23594000.0,1086000.0,,78122000.0,72927000.0
March 2018,25281000.0,1547000.0,,78577000.0,73270000.0
June 2018,22039000.0,1749000.0,,79827000.0,74690000.0
September 2018,22723000.0,1590000.0,,84701000.0,79736000.0
December 2018,24789000.0,1878000.0,,101502000.0,70247000.0
