,NetIncomeLoss,Assets,AssetsCurrent
March 2010,1062273.0,,
June 2010,799749.0,,
September 2010,704556.0,,
December 2010,543476.0,10384356.0,798077.0
March 2011,482802.0,,
June 2011,1034873.0,10173057.0,956783.0
September 2011,733138.0,9877406.0,822910.0
December 2011,436999.0,9551300.0,662721.0
March 2012,405002.0,9305900.0,573538.0
June 2012,287432.0,9025309.0,475982.0
September 2012,338666.0,8934477.0,552418.0
December 2012,333782.0,8798636.0,595554.0
March 2013,336914.0,8614732.0,559841.0
June 2013,588822.0,8547748.0,631766.0
September 2013,531986.0,8412903.0,639297.0
December 2013,492122.0,8296326.0,657724.0
March 2014,625238.0,8248614.0,703943.0
June 2014,736470.0,8133029.0,727272.0
September 2014,529993.0,7918795.0,633694.0
December 2014,213002.0,7603798.0,426068.0
March 2015,48555.0,7357682.0,277905.0
June 2015,140052.0,7274964.0,328497.0
September 2015,72573.0,7112279.0,286600.0
December 2015,-2008608.0,4922371.0,224443.0
March 2016,-508759.0,4325264.0,173510.0
June 2016,-623008.0,3637296.0,208969.0
September 2016,118292.0,3602665.0,230833.0
December 2016,148348.0,3579365.0,267421.0
March 2017,144070.0,3496431.0,236059.0
June 2017,108654.0,3452045.0,242758.0
September 2017,126998.0,3445440.0,279045.0
December 2017,97093.0,3348025.0,221956.0
March 2018,103290.0,3225993.0,608785.0
June 2018,131081.0,2802551.0,223933.0
September 2018,129379.0,2748715.0,205621.0
December 2018,134626.0,2722519.0,212529.0
March 2019,41491.0,2628606.0,146422.0
June 2019,44815.0,2575174.0,119797.0
September 2019,-9320.0,2535222.0,106466.0
