,NetIncomeLoss,Assets
March 2009,1451500.0,
June 2009,1451500.0,
September 2009,1451500.0,
December 2009,1451500.0,
March 2010,1751000.0,
June 2010,2933000.0,
September 2010,2677000.0,
December 2010,2671000.0,1584877000.0
March 2011,2429000.0,
June 2011,2690000.0,1609653000.0
September 2011,3085000.0,1606558000.0
December 2011,2980000.0,1623752000.0
March 2012,2849000.0,1660198000.0
June 2012,2582000.0,1653626000.0
September 2012,2929000.0,1683684000.0
December 2012,-4732000.0,2402303000.0
March 2013,4701000.0,
June 2013,4049000.0,2448350000.0
September 2013,4647000.0,2490737000.0
December 2013,4005000.0,2481843000.0
